seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source;avg_fixed_to_one;avg_fixed_to_zero;avg_pruned_nodes
1;45;10;9;3610.851;-0.10769323763019534;-0.10769323763019534;0.09696058282796516;0.9003404945528267;12910405;25629;TIME_LIMIT;19804.0;208;follow_gradient;0.0;0.0;0.0
2;45;10;9;1601.524;-0.12489996084620236;-0.12489996084620236;0.005601768825149234;0.04485004468533873;9893919;9009;OPTIMAL;49984.0;477;follow_gradient;0.0;0.0;0.0
3;45;10;9;3612.316;-0.16058321930514108;-0.16058321930514108;0.07418457386787403;0.4619696515543639;14735155;23941;TIME_LIMIT;21487.0;246;vertex;0.0;0.0;0.0
1;66;12;11;32.434;-0.9454103618518659;-0.9454103618518659;0.04361007244867787;0.04612819385991777;219221;255;OPTIMAL;2153.0;7;follow_gradient;0.0;0.0;0.0
2;66;12;11;23.566;-1.2760063662697654;-1.2760063662697654;0.05985261684323229;0.04690620550601439;168142;113;OPTIMAL;12547.0;41;vertex;0.0;0.0;0.0
3;66;12;11;7.272;-0.7884915683255224;-0.7884915683255224;0.03154005855251241;0.040000501995845504;45472;55;OPTIMAL;1139.0;1;follow_gradient;0.0;0.0;0.0
1;105;15;14;3608.069;-0.8987047139975232;-0.8987047139975232;0.4540861432444009;0.505267343290749;12757767;8457;TIME_LIMIT;3876.0;7;follow_gradient;0.0;0.0;0.0
2;105;15;14;394.802;-1.1199587090598517;-1.1199587090598517;0.05494990891231777;0.04906422751821397;1729238;1859;OPTIMAL;6989.0;10;vertex;0.0;0.0;0.0
3;105;15;14;3608.636;-0.9446167032646136;-0.9446167032646136;0.17455804205734515;0.18479245756937093;12630242;11011;TIME_LIMIT;3.580611e6;9299;vertex;0.0;0.0;0.0
1;300;25;24;3605.973;-1.0165271543183523;-1.0165271543183523;0.9705805634398357;0.9548004293999143;5985838;4213;TIME_LIMIT;599787.0;679;follow_gradient;0.0;0.0;0.0
2;300;25;24;3605.25;-0.6538895635538358;-0.6538895635538358;0.6938439391001854;1.061102635327594;5504057;18193;TIME_LIMIT;147156.0;220;follow_gradient;0.0;0.0;0.0
3;300;25;24;3605.288;-0.7394602294120544;-0.7394602294120544;1.0595173705437357;1.432825361529124;5702594;5437;TIME_LIMIT;359773.0;480;follow_gradient;0.0;0.0;0.0
1;780;40;39;3601.921;-0.5149858261708913;-0.5149858261708913;1.1960455111359067;2.322482387581313;2495951;1467;TIME_LIMIT;362779.0;143;follow_gradient;0.0;0.0;0.0
2;780;40;39;3601.932;-0.5908205824327444;-0.5908205824327444;1.9215967783318801;3.252420168606133;2498928;1083;TIME_LIMIT;174737.0;34;vertex;0.0;0.0;0.0
3;780;40;39;3602.054;-0.9556046431568688;-0.9556046431568688;1.3803304997527488;1.4444577154761256;2558700;1089;TIME_LIMIT;183259.0;35;follow_gradient;0.0;0.0;0.0
1;1770;60;59;3600.549;-0.45188119981519875;-0.45188119981519875;1.5205409621385872;3.3649130850330295;1017157;997;TIME_LIMIT;2.161763e6;347;vertex;0.0;0.0;0.0
2;1770;60;59;3600.542;-0.43424657195993466;-0.43424657195993466;1.7394905813497734;4.005766985099576;1000631;577;TIME_LIMIT;423687.0;87;follow_gradient;0.0;0.0;0.0
3;1770;60;59;3600.54;-0.4777421624862377;-0.4777421624862377;2.045751059934571;4.2821237491122695;1113855;547;TIME_LIMIT;394429.0;39;follow_gradient;0.0;0.0;0.0
1;4950;100;99;3600.154;-0.22792448788119166;-0.22792448788119166;5.87737526137646;25.786501994643558;296185;113;TIME_LIMIT;1.751253e6;36;vertex;0.0;0.0;0.0
2;4950;100;99;3600.145;-0.2933366256757155;-0.2933366256757155;5.860913666137172;19.98016324295088;294034;97;TIME_LIMIT;2.739035e6;46;vertex;0.0;0.0;0.0
3;4950;100;99;3600.151;-0.19376036937713165;-0.19376036937713165;5.96736399578593;30.797649772080902;288427;117;TIME_LIMIT;3.347077e6;65;vertex;0.0;0.0;0.0
