seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source;avg_fixed_to_one;avg_fixed_to_zero;avg_pruned_nodes
1;80;26;40;3600.036;-3.224851371569596;-3.224851371569596;0.23822653753726497;0.07387209830427491;14872337;42771;TIME_LIMIT;3.395633e6;20366;rounding;0.0;0.0;0.0
2;80;26;40;2.199;-2.6529743347813524;-2.6529743347813524;0.1323773376878239;0.04989770762284208;875;23;OPTIMAL;1993.0;10;rounding;0.0;0.0;0.0
3;80;26;40;3600.052;-3.4157811971354985;-3.4157811971354985;0.3341576975490623;0.09782760612105063;13795631;59117;TIME_LIMIT;2.16896e6;19717;rounding;0.0;0.0;0.0
4;80;26;40;3600.035;-3.278121857983688;-3.278121857983688;0.42638810588762066;0.13007085287240788;15027237;40261;TIME_LIMIT;970319.0;7148;rounding;0.0;0.0;0.0
5;80;26;40;3600.062;-3.215991586704659;-3.215991586704659;0.2883279383344015;0.08965444422379334;13823066;56189;TIME_LIMIT;1.418338e6;13335;rounding;0.0;0.0;0.0
1;100;33;50;0.692;-1.7745947804434028;-1.7745947804434028;0.050941665674812064;0.02870608334714233;58;3;OPTIMAL;691.0;1;rounding;0.0;0.0;0.0
2;100;33;50;3600.031;-2.9821755944956454;-2.9821755944956454;0.36630665488435143;0.12283202087779889;9699310;27267;TIME_LIMIT;2.901427e6;11199;rounding;0.0;0.0;0.0
3;100;33;50;3600.025;-2.9880923840161513;-2.9880923840161513;0.43156655704655744;0.1444287865245015;9790620;21517;TIME_LIMIT;1.71775e6;5748;rounding;0.0;0.0;0.0
4;100;33;50;3600.048;-3.019182129200197;-3.019182129200197;0.4885110993767223;0.16180246122022868;9582020;31237;TIME_LIMIT;2.987131e6;13376;rounding;0.0;0.0;0.0
5;100;33;50;3600.081;-2.9370619876191375;-2.9370619876191375;0.17378874872995764;0.05917095024297922;9325848;35815;TIME_LIMIT;1.555708e6;8344;rounding;0.0;0.0;0.0
1;150;50;75;3600.036;-2.527133636623937;-2.527133636623937;0.3506823730182882;0.13876684949940907;4824183;7445;TIME_LIMIT;164736.0;395;rounding;0.0;0.0;0.0
2;150;50;75;3600.087;-2.536525202063326;-2.536525202063326;0.7968339260497181;0.314143902611942;4646575;16021;TIME_LIMIT;2.886321e6;6613;rounding;0.0;0.0;0.0
3;150;50;75;3600.117;-2.527481451248205;-2.527481451248205;0.7411681738595699;0.2932437638636444;4778539;17445;TIME_LIMIT;1.343396e6;3399;hyperplane_aware_rounding;0.0;0.0;0.0
4;150;50;75;3600.179;-2.5157350999516854;-2.5157350999516854;0.672076756177324;0.2671492543830355;4642167;21267;TIME_LIMIT;2.551804e6;7965;rounding_lmo_01;0.0;0.0;0.0
5;150;50;75;570.125;-2.35324343418024;-2.35324343418024;0.11613469382839225;0.049350905283136653;689063;6891;OPTIMAL;570009.0;3445;rounding;0.0;0.0;0.0
1;200;66;100;3600.126;-2.249776279425001;-2.249776279425001;0.6346198935754024;0.28208133376603955;2604079;8743;TIME_LIMIT;1.056279e6;1480;rounding;0.0;0.0;0.0
2;200;66;100;3600.252;-2.2905472675086984;-2.2905472675086984;0.2495968942270923;0.10896823556868357;2657293;12611;TIME_LIMIT;2.503165e6;4787;rounding;0.0;0.0;0.0
3;200;66;100;3600.582;-2.2801888309230316;-2.2801888309230316;0.2147023875475531;0.09415991545780905;2325107;16857;TIME_LIMIT;2.712336e6;6709;rounding;0.0;0.0;0.0
4;200;66;100;3600.28;-2.29193282483842;-2.29193282483842;0.1834586829825109;0.0800454014159183;2385703;16603;TIME_LIMIT;1.331221e6;3812;rounding;0.0;0.0;0.0
5;200;66;100;3600.207;-2.4289188628347773;-2.4289188628347773;0.7266313674894143;0.29915835337594066;2542979;10505;TIME_LIMIT;2.931753e6;4421;rounding;0.0;0.0;0.0
