seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source
1;50;7;5;3620.654;-1.249998810128798e-13;-6.24999405064399e-12;8.713816054861983;6.971059479619924e13;25945947;26151;TIME_LIMIT;13494.0;118;follow_gradient
2;50;7;5;3618.994;-1.0300543227069616e-13;-5.150271613534808e-12;6.911146617638288;6.7094972228997945e13;24352391;28831;TIME_LIMIT;2.265747e6;13928;vertex
3;50;7;5;3622.436;-1.5816359473433863e-13;-7.908179736716931e-12;7.969776064687946;5.038944693988826e13;26100839;26299;TIME_LIMIT;3.598947e6;17280;vertex
4;50;7;5;3622.449;-1.4258453721361792e-13;-7.129226860680896e-12;7.261389914447959;5.0926910142921445e13;23524080;27831;TIME_LIMIT;358307.0;2512;follow_gradient
5;50;7;5;3617.694;-1.5165654494642124e-13;-7.582827247321062e-12;8.590689839450203;5.664569137115189e13;25185121;25761;TIME_LIMIT;3.486417e6;16182;vertex
1;50;7;10;3600.046;-33.45284004061308;-1672.642002030654;2.0317591959065666;0.06073502857873741;12895117;165059;TIME_LIMIT;29455.0;106;vertex
2;50;7;10;3600.08;-23.7649322990524;-1188.2466149526201;2.540804847284438;0.10691403683846175;20003094;123701;TIME_LIMIT;346789.0;2033;vertex
3;50;7;10;212.083;-37.24302271370185;-1862.1511356850924;0.37201199488755776;0.00998877018515184;2187695;40945;OPTIMAL;4333.0;5;vertex
4;50;7;10;3600.109;-22.993689716100974;-1149.6844858050488;3.057106966272876;0.13295417151481279;23506269;96295;TIME_LIMIT;86455.0;264;vertex
5;50;7;10;3600.016;-37.283639549849234;-1864.1819774924618;0.6716809149640355;0.018015433124922795;11940047;220675;TIME_LIMIT;12627.0;23;vertex
1;50;7;20;3600.085;-66.75764572599013;-3337.8822862995066;5.216527569463068;0.07814127524620249;15537346;145073;TIME_LIMIT;79907.0;906;vertex
2;50;7;20;3600.106;-48.89852605583886;-2444.926302791943;3.5344771022300563;0.07228187406290977;12414078;142265;TIME_LIMIT;100636.0;2240;vertex
3;50;7;20;166.759;-67.19462780983679;-3359.731390491839;0.6717606153713405;0.009997236940912108;912013;32631;OPTIMAL;3934.0;3;rounding
4;50;7;20;3600.094;-48.92801076156209;-2446.4005380781045;3.1400685973314495;0.0641773198717143;8743249;163567;TIME_LIMIT;4929.0;26;vertex
5;50;7;20;3600.153;-71.89139954013103;-3594.5699770065517;8.289266505309769;0.11530261697969248;6998577;125045;TIME_LIMIT;7406.0;8;vertex
1;80;8;6;3614.081;-1.9487009989768897e-13;-1.5589607991815117e-11;37.287452031342326;1.913451681449286e14;22821822;9795;TIME_LIMIT;785625.0;1395;vertex
2;80;8;6;3613.847;-2.5661217983971613e-13;-2.052897438717729e-11;22.54692942057484;8.786383185185519e13;22104053;12641;TIME_LIMIT;222790.0;786;vertex
3;80;8;6;3613.688;-1.7076594256515593e-13;-1.3661275405212474e-11;26.29679386633672;1.5399319952983688e14;22496584;10729;TIME_LIMIT;50928.0;184;vertex
4;80;8;6;3617.02;-3.251259819466791e-13;-2.6010078555734327e-11;33.62788775076975;1.034303304504429e14;19561378;9371;TIME_LIMIT;1.212336e6;2009;vertex
5;80;8;6;3617.846;-3.1074456317471503e-13;-2.4859565053977202e-11;33.08221518667793;1.0646112308030172e14;19413990;8755;TIME_LIMIT;3.170959e6;4266;vertex
1;80;8;12;3600.008;-69.75713531226219;-5580.570824980976;26.983406208853467;0.38681929938872095;31714444;19017;TIME_LIMIT;417199.0;493;vertex
2;80;8;12;3600.007;-45.039853516385236;-3603.1882813108186;24.124012425483926;0.5356148064892741;32410251;9671;TIME_LIMIT;373381.0;405;vertex
3;80;8;12;3600.004;-48.04575526555735;-3843.6604212445877;21.458547668810212;0.44662733575952845;32490591;9783;TIME_LIMIT;1.923913e6;2187;rounding
4;80;8;12;3600.012;-68.39534787864508;-5471.627830291607;21.927810758678234;0.32060383401492576;32975921;31215;TIME_LIMIT;2.495465e6;7087;vertex
5;80;8;12;3600.003;-60.11177004040101;-4808.9416032320805;46.10530353952795;0.7669929451177475;25623472;5967;TIME_LIMIT;2.735979e6;2247;vertex
1;80;8;24;3600.085;-147.865159591198;-11829.21276729584;21.73927559339114;0.1470209456608548;22520362;90207;TIME_LIMIT;248780.0;704;vertex
2;80;8;24;3600.049;-97.65820912556174;-7812.656730044939;13.68609422983998;0.14014279344651312;16716842;110869;TIME_LIMIT;337425.0;4106;vertex
3;80;8;24;3600.022;-101.56473374409057;-8125.178699527246;19.35864177578904;0.19060397307362997;29337708;36285;TIME_LIMIT;2.865315e6;13025;vertex
4;80;8;24;3600.034;-140.48288263061247;-11238.630610448998;12.321707393845287;0.08770967083757916;18566406;87871;TIME_LIMIT;22824.0;62;vertex
5;80;8;24;3600.059;-140.95765006873125;-11276.6120054985;29.59892340216402;0.20998451228245874;19739845;80695;TIME_LIMIT;7839.0;6;vertex
1;100;10;7;3610.504;-3.824253483738807e-13;-3.824253483738807e-11;67.38581459024958;1.7620645408779072e14;18239418;6125;TIME_LIMIT;3.535061e6;3022;vertex
2;100;10;7;3612.04;-3.832514954920663e-13;-3.832514954920663e-11;49.79499963387828;1.299277373202294e14;16799567;6755;TIME_LIMIT;2.397696e6;2494;vertex
3;100;10;7;3611.681;-2.863311373164665e-13;-2.8633113731646647e-11;56.60002319094828;1.976733083289901e14;16395447;6187;TIME_LIMIT;331996.0;480;vertex
4;100;10;7;3613.043;-3.984027125832531e-13;-3.984027125832531e-11;83.27877369644546;2.0903164327487584e14;16074438;4935;TIME_LIMIT;1.288525e6;1074;vertex
5;100;10;7;3611.527;-3.3341527136646326e-13;-3.334152713664633e-11;60.46208883952483;1.8134169017432247e14;14714066;5155;TIME_LIMIT;2.539773e6;1967;vertex
1;100;10;15;3600.004;-91.29604954055296;-9129.604954055296;103.16219727132923;1.1299743832344622;16611997;3427;TIME_LIMIT;885528.0;445;vertex
2;100;10;15;3600.002;-69.13684984736534;-6913.684984736534;64.59285148025108;0.9342753050342021;22260372;4531;TIME_LIMIT;3.3773e6;2121;vertex
3;100;10;15;3600.002;-87.20901023623136;-8720.901023623137;78.9816049948021;0.9056587705886936;20973491;4427;TIME_LIMIT;1.24859e6;797;vertex
4;100;10;15;3600.003;-100.78389945740433;-10078.389945740433;120.46900511425373;1.1953199445827076;14625669;2989;TIME_LIMIT;2.257113e6;922;rounding
5;100;10;15;3600.002;-74.08210447442974;-7408.210447442974;80.00472001654424;1.0799466427706406;20696842;4279;TIME_LIMIT;2.761603e6;1636;rounding
1;100;10;34;3600.005;-248.28585624204612;-24828.585624204614;71.13985482955536;0.2865239925717047;21250257;14353;TIME_LIMIT;13258.0;21;rounding
2;100;10;34;3600.011;-184.3738776128169;-18437.38776128169;34.502762584627874;0.1871347667649714;14670320;22829;TIME_LIMIT;2.496145e6;3156;sr_rounding
3;100;10;34;3600.008;-212.32552817705738;-21232.55281770574;60.399160674709435;0.2844649025167752;21120939;20693;TIME_LIMIT;41505.0;49;rounding
4;100;10;34;3600.003;-288.2244874530303;-28822.44874530303;116.44709678381923;0.4040152792458195;14872699;4191;TIME_LIMIT;2.386854e6;1214;rounding
5;100;10;34;3600.023;-219.15087996729514;-21915.087996729515;51.19600419822487;0.2336107626210083;19413797;23319;TIME_LIMIT;1.796943e6;3905;rounding_lmo_01
1;120;10;7;3609.911;-3.9191296087110077e-13;-4.7029555304532093e-11;98.12236403272257;2.5036774444669306e14;14356034;4345;TIME_LIMIT;937086.0;724;vertex
2;120;10;7;3610.299;-4.042235987855706e-13;-4.850683185426847e-11;77.74687485521822;1.9233630863907275e14;12480556;4123;TIME_LIMIT;470514.0;414;vertex
3;120;10;7;3610.917;-4.443652005603581e-13;-5.3323824067242966e-11;81.00185182531408;1.8228666809004906e14;13343146;4339;TIME_LIMIT;3.587511e6;2164;vertex
4;120;10;7;3610.496;-4.914378987381133e-13;-5.89725478485736e-11;112.99937737411916;2.299362293064345e14;13373692;3797;TIME_LIMIT;92017.0;98;vertex
5;120;10;7;3610.383;-5.280575159450213e-13;-6.336690191340256e-11;95.58468811527635;1.8101188834367078e14;13888926;4233;TIME_LIMIT;183472.0;214;vertex
1;120;10;15;3600.002;-118.9945377911761;-14279.344534941132;133.1206467933068;1.1187122473379463;16363731;3311;TIME_LIMIT;2.812338e6;1295;vertex
2;120;10;15;3600.004;-100.56170103400753;-12067.404124080904;109.32465768296093;1.0871400996487717;17230021;3541;TIME_LIMIT;153670.0;89;vertex
3;120;10;15;3600.002;-106.49748996636686;-12779.698795964023;111.02406980802175;1.0425040988579584;18562181;3795;TIME_LIMIT;2.458139e6;1327;vertex
4;120;10;15;3600.002;-137.3835993964122;-16486.031927569464;194.09374879946807;1.412786894885627;17878781;3603;TIME_LIMIT;2.039353e6;1064;vertex
5;120;10;15;3600.002;-101.872902167634;-12224.74826011608;154.40600369429893;1.5156729651249221;15783831;3189;TIME_LIMIT;226952.0;102;vertex
1;120;10;34;3600.002;-325.6708906492935;-39080.50687791522;147.72243985162766;0.45359423913237035;16140990;3457;TIME_LIMIT;1.810652e6;831;rounding
2;120;10;34;3600.003;-267.3365408671623;-32080.384904059472;112.79542468453792;0.4219229601709599;15889895;4289;TIME_LIMIT;327319.0;225;rounding
3;120;10;34;3600.003;-289.0718832064888;-34688.62598477866;93.50107319633628;0.32345267259890137;15578123;6615;TIME_LIMIT;18308.0;25;vertex
4;120;10;34;3600.006;-380.9766378550936;-45717.19654261123;222.94934925475752;0.5852047792483208;18004035;3675;TIME_LIMIT;22407.0;13;rounding
5;120;10;34;3600.002;-316.3918450563825;-37967.0214067659;172.92333716234486;0.5465480222207658;17010116;3709;TIME_LIMIT;1.119554e6;603;rounding
1;150;12;9;3605.685;-9.606811261019723e-13;-1.4410216891529586e-10;169.30867285852364;1.7623815880041784e14;10357276;2821;TIME_LIMIT;999715.0;484;vertex
2;150;12;9;3607.205;-8.133395859036246e-13;-1.220009378855437e-10;153.86966599819723;1.8918256121426478e14;9857826;2593;TIME_LIMIT;3.492309e6;1266;vertex
3;150;12;9;3606.101;-1.2685590902397525e-12;-1.902838635359629e-10;167.2741857998292;1.3186156410594564e14;9538801;2545;TIME_LIMIT;2.195214e6;861;vertex
4;150;12;9;3607.761;-9.141149303891225e-13;-1.3711723955836837e-10;144.93473512735432;1.5855198324532144e14;9961957;2595;TIME_LIMIT;1.64439e6;670;vertex
5;150;12;9;3606.316;-8.224221681189061e-13;-1.2336332521783592e-10;170.06093510553578;2.0678058264712084e14;9745731;2597;TIME_LIMIT;643217.0;309;vertex
1;150;12;18;3600.001;-132.53047964054474;-19879.571946081713;247.4171641299912;1.8668699064626295;10929487;2205;TIME_LIMIT;1.229917e6;389;vertex
2;150;12;18;3600.001;-127.7567814208418;-19163.51721312627;181.23677660255285;1.4186078780862783;11133048;2237;TIME_LIMIT;180040.0;55;vertex
