seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source;avg_fixed_to_one;avg_fixed_to_zero
1;80;26;40;3600.041;-3.2346432371433598;-3.2346432371433598;0.5065200309660156;0.1565922402661455;8853264;38127;TIME_LIMIT;655919.0;4989;rounding;0.0;0.0
2;80;26;40;3600.265;-2.7106668021062674;-2.7106668021062674;0.32396352560162933;0.1195143295922244;7213698;71825;TIME_LIMIT;3.121054e6;32498;rounding;0.0;0.0
3;80;26;40;3600.013;-3.3992870015585863;-3.3992870015585863;0.8763219112840899;0.25779579979045397;9062870;17637;TIME_LIMIT;20739.0;208;rounding;0.0;0.0
4;80;26;40;3600.013;-3.308071006518783;-3.308071006518783;1.233309138309143;0.3728182181938725;9251875;17185;TIME_LIMIT;1.869236e6;5375;rounding;0.0;0.0
5;80;26;40;3600.021;-3.215991586704659;-3.215991586704659;0.9250414820897257;0.2876380292516844;9049746;26361;TIME_LIMIT;174361.0;1250;rounding;0.0;0.0
1;100;33;50;3601.949;-1.7990976776080034;-1.7990976776080034;0.40032725943974845;0.22251557790458878;2990287;69421;TIME_LIMIT;3.294576e6;32760;vertex;0.0;0.0
2;100;33;50;3600.032;-2.9801215747513563;-2.9801215747513563;0.774691047776563;0.2599528335823677;5638013;19037;TIME_LIMIT;3.125529e6;8542;rounding;0.0;0.0
3;100;33;50;3600.027;-2.9704044546108044;-2.9704044546108044;0.8572809505905208;0.288607482142645;5651386;17039;TIME_LIMIT;1.3098e6;3797;hyperplane_aware_rounding;0.0;0.0
4;100;33;50;3600.017;-3.0025857779119662;-3.0025857779119662;1.3071117014249691;0.43532867938046055;5667767;11677;TIME_LIMIT;215477.0;784;hyperplane_aware_rounding;0.0;0.0
5;100;33;50;3600.163;-2.9254701277294144;-2.9254701277294144;0.5521083495523724;0.18872465807090225;5401403;38601;TIME_LIMIT;3.44439e6;18565;rounding;0.0;0.0
1;150;50;75;3600.168;-2.5046641529537492;-2.5046641529537492;1.082274055644202;0.43210346359925217;2944570;10603;TIME_LIMIT;2.063056e6;3570;rounding_lmo_01;0.0;0.0
2;150;50;75;3600.059;-2.52198690177408;-2.52198690177408;1.632988718592999;0.6475008722068623;2797696;9657;TIME_LIMIT;2.344023e6;3422;hyperplane_aware_rounding;0.0;0.0
3;150;50;75;3600.157;-2.5346073032762577;-2.5346073032762577;1.3446070250253261;0.5304991519937918;2808945;14645;TIME_LIMIT;253687.0;849;rounding_lmo_01;0.0;0.0
4;150;50;75;3600.133;-2.512209470306173;-2.512209470306173;1.315972201553938;0.5238306029447278;2792599;14905;TIME_LIMIT;2.251664e6;5164;rounding;0.0;0.0
5;150;50;75;3600.473;-2.346831375638036;-2.346831375638036;0.8273109318955476;0.3525225290933506;2569550;26959;TIME_LIMIT;3.013957e6;11322;rounding;0.0;0.0
1;200;66;100;3600.23;-2.233197703357181;-2.233197703357181;1.515172874676419;0.6784768193154818;1535742;7913;TIME_LIMIT;3.136644e6;3575;rounding;0.0;0.0
2;200;66;100;3600.19;-2.282891394605929;-2.282891394605929;1.2371035763190625;0.541902071750816;1548269;9527;TIME_LIMIT;2.921781e6;4008;rounding;0.0;0.0
3;200;66;100;3600.461;-2.274184316006718;-2.274184316006718;1.196878226557064;0.5262890163004398;1413888;11689;TIME_LIMIT;3.132056e6;5225;rounding;0.0;0.0
4;200;66;100;3600.229;-2.2641704882549907;-2.2641704882549907;1.2517105234254977;0.5528340422766478;1385765;13183;TIME_LIMIT;2.996012e6;5553;rounding;0.0;0.0
5;200;66;100;3600.354;-2.3463421882896753;-2.3463421882896753;1.6822321832246523;0.7169594407927711;1442670;11137;TIME_LIMIT;2.53467e6;4127;hyperplane_aware_rounding;0.0;0.0
