seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source
1;50;7;5;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;50;7;5;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;50;7;5;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;50;7;5;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;50;7;5;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;50;7;10;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;50;7;10;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;50;7;10;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;50;7;10;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;50;7;10;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;50;7;20;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;50;7;20;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;50;7;20;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;50;7;20;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;50;7;20;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;80;8;6;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;80;8;6;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;80;8;6;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;80;8;6;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;80;8;6;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;80;8;12;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;80;8;12;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;80;8;12;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;80;8;12;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;80;8;12;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;80;8;24;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;80;8;24;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;80;8;24;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;80;8;24;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;80;8;24;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;100;10;7;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;100;10;7;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;100;10;7;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;100;10;7;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;100;10;7;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;100;10;15;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;100;10;15;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;100;10;15;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;100;10;15;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;100;10;15;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;100;10;34;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;100;10;34;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;100;10;34;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;100;10;34;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;100;10;34;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;120;10;7;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;120;10;7;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;120;10;7;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;120;10;7;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;120;10;7;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;120;10;15;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;120;10;15;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;120;10;15;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;120;10;15;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;120;10;15;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;120;10;34;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;120;10;34;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;120;10;34;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;120;10;34;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;120;10;34;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;150;12;9;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;150;12;9;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;150;12;9;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;150;12;9;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;150;12;9;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;150;12;18;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;150;12;18;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;150;12;18;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;150;12;18;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;150;12;18;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
1;150;12;44;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
2;150;12;44;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
3;150;12;44;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
4;150;12;44;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
5;150;12;44;3600;Inf;Inf;0.0;Inf;0;0;ERROR;0.0;0;missing
