seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source;avg_fixed_to_one;avg_fixed_to_zero;avg_pruned_nodes
1;45;10;9;102.645;-0.12260807282096142;-0.12260807282096142;0.006112785125761688;0.04985630215954776;314506;3145;OPTIMAL;39341.0;817;vertex;0.0;0.0;0.0
2;45;10;9;119.043;-0.19251549888412633;-0.19251549888412633;0.009516060110752178;0.04943009869807846;359311;2518;OPTIMAL;34544.0;125;vertex;0.0;0.0;0.0
3;45;10;9;156.039;-0.16058321930514108;-0.16058321930514108;0.007993432305332865;0.04977750688970622;421250;3256;OPTIMAL;124303.0;2179;follow_gradient;0.0;0.0;0.0
1;66;12;11;3600.076;-1.0611995736312685;-1.0611995736312685;1.3020641723446507;1.2269738932227225;2347445;3348;TIME_LIMIT;3.26191e6;1826;vertex;0.0;0.0;0.0
2;66;12;11;3600.015;-1.358610970893516;-1.358610970893516;0.6924276401969394;0.5096585078667158;9129787;8134;TIME_LIMIT;136762.0;365;vertex;0.0;0.0;0.0
3;66;12;11;3600.018;-1.0928706034701139;-1.0928706034701139;0.943957718598146;0.8637415221901519;9159411;7174;TIME_LIMIT;1.03904e6;1766;vertex;0.0;0.0;0.0
1;105;15;14;3600.231;-0.945254251532988;-0.945254251532988;2.2275901804511973;2.3566042436080568;1828953;2673;TIME_LIMIT;2.80384e6;1087;follow_gradient;0.0;0.0;0.0
2;105;15;14;3600.25;-0.8994481808732762;-0.8994481808732762;2.160479768694162;2.4020058238336173;1812714;2607;TIME_LIMIT;1.386352e6;597;vertex;0.0;0.0;0.0
3;105;15;14;3600.766;-0.7692936646669221;-0.7692936646669221;2.334037060938539;3.0340001070320755;1771157;2467;TIME_LIMIT;1.193272e6;501;vertex;0.0;0.0;0.0
1;300;25;24;3602.86;-0.7138491773848605;-0.7138491773848605;3.7120759805248724;5.200084412962159;2342589;3081;TIME_LIMIT;977863.0;553;follow_gradient;0.0;0.0;0.0
2;300;25;24;3602.57;-0.6766791898222042;-0.6766791898222042;3.900913093610626;5.764789507765979;2478446;3191;TIME_LIMIT;3.286343e6;1469;follow_gradient;0.0;0.0;0.0
3;300;25;24;3602.68;-0.7104633288492284;-0.7104633288492284;3.777775255485631;5.317340251191677;2408686;3373;TIME_LIMIT;1.159734e6;611;vertex;0.0;0.0;0.0
1;780;40;39;3601.279;-0.4372837679077683;-0.4372837679077683;6.05418677690842;13.844984015471999;1154740;867;TIME_LIMIT;3.293782e6;387;vertex;0.0;0.0;0.0
2;780;40;39;3601.231;-0.5016066821123513;-0.5016066821123513;6.9589346546807835;13.873289377596652;1148696;1139;TIME_LIMIT;2.783649e6;441;follow_gradient;0.0;0.0;0.0
3;780;40;39;3601.177;-0.43805251065636086;-0.43805251065636086;6.3714359243468195;14.544913610471282;1231284;941;TIME_LIMIT;2.65146e6;325;vertex;0.0;0.0;0.0
1;1770;60;59;3600.665;-0.3185329099614294;-0.3185329099614294;9.93927092324438;31.20327794213762;691388;279;TIME_LIMIT;386646.0;15;vertex;0.0;0.0;0.0
2;1770;60;59;3600.734;-0.3979287715703234;-0.3979287715703234;9.933950702004449;24.96414286105192;688924;277;TIME_LIMIT;1.630545e6;63;vertex;0.0;0.0;0.0
3;1770;60;59;3600.671;-0.29502520038352753;-0.29502520038352753;10.055236671368949;34.08263652832815;687337;277;TIME_LIMIT;2.82716e6;109;vertex;0.0;0.0;0.0
1;4950;100;99;3600.187;-0.07899260581083628;-0.07899260581083628;6.024691600058373;76.26905756832116;200910;83;TIME_LIMIT;1.618307e6;18;vertex;0.0;0.0;0.0
2;4950;100;99;3600.155;-0.09135797134311965;-0.09135797134311965;6.086132518399894;66.61851646794752;197229;81;TIME_LIMIT;3.600055e6;40;vertex;0.0;0.0;0.0
3;4950;100;99;3600.201;-0.06870360835849204;-0.06870360835849204;6.099408708505714;88.77857880010174;197426;81;TIME_LIMIT;3.097504e6;34;vertex;0.0;0.0;0.0
