seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source
1;50;7;5;3603.653;-1.6220057907197783e-15;-8.110028953598891e-14;0.5091522015440283;3.139028260300402e14;4430469;108389;TIME_LIMIT;953282.0;33556;vertex
2;50;7;5;3602.785;-1.5891177557163035e-15;-7.945588778581518e-14;0.4684626240840802;2.947941537994572e14;4569430;123345;TIME_LIMIT;502612.0;27012;vertex
3;50;7;5;3603.901;-1.5449267409195872e-15;-7.724633704597937e-14;0.5502748317911847;3.561818287018869e14;4123066;98355;TIME_LIMIT;16716.0;2061;vertex
1;50;7;10;3602.507;-0.6568637009409543;-32.84318504704771;0.5446340449144415;0.8291431603455263;4373385;131401;TIME_LIMIT;295008.0;17890;vertex
2;50;7;10;3601.345;-0.6785467060591251;-33.92733530295626;0.5622264193669358;0.8285743845582035;4189804;134441;TIME_LIMIT;166956.0;12928;rounding
3;50;7;10;3601.977;-0.6964447883728754;-34.82223941864377;0.6390688383529853;0.9176159388686945;4488487;105725;TIME_LIMIT;30577.0;3207;rounding
1;50;7;20;3601.602;-1.4010717046596848;-70.05358523298423;1.0505075402076716;0.7497885630791723;2277490;139743;TIME_LIMIT;299307.0;20836;vertex
2;50;7;20;3601.389;-1.5505104781410823;-77.52552390705412;0.9622071144097433;0.6205744030593976;1540194;99847;TIME_LIMIT;661789.0;24852;vertex
3;50;7;20;3601.597;-1.6247267883900074;-81.23633941950037;1.154817671301791;0.7107765315091136;2063222;113287;TIME_LIMIT;534315.0;25906;vertex
1;100;10;7;3603.653;-2.0568977427195762e-15;-2.0568977427195762e-13;1.2614897136661203;6.132972424765325e14;4647020;70611;TIME_LIMIT;758309.0;15973;vertex
2;100;10;7;3603.475;-2.0860462765602698e-15;-2.0860462765602697e-13;1.2115978548028348;5.808106312965725e14;5241797;83855;TIME_LIMIT;198058.0;7927;vertex
3;100;10;7;3603.73;-2.3765449846637205e-15;-2.3765449846637203e-13;1.3119434980207927;5.5203815054501556e14;5381920;81927;TIME_LIMIT;897000.0;20042;vertex
1;100;10;15;3605.14;-0.8851753076274499;-88.51753076274498;1.734621499025812;1.959636112845428;8087147;66999;TIME_LIMIT;120889.0;4696;vertex
2;100;10;15;3604.877;-0.824470541573064;-82.4470541573064;1.5769466662041673;1.912677999623131;6018053;58431;TIME_LIMIT;337841.0;8361;rounding
3;100;10;15;3604.822;-0.8770675843523716;-87.70675843523716;1.9314811254289235;2.2022032964029026;7813455;62841;TIME_LIMIT;1.114555e6;16803;rounding
1;100;10;34;3602.287;-2.272461423804316;-227.2461423804316;3.1354343817724395;1.3797525224975766;2635953;86533;TIME_LIMIT;374527.0;14907;vertex
2;100;10;34;3602.955;-2.119343454093715;-211.93434540937147;2.7810092883902766;1.3122032122818466;3515606;78839;TIME_LIMIT;542928.0;15617;vertex
3;100;10;34;3602.543;-2.5217737215181923;-252.17737215181924;3.1942724952015658;1.2666768901368781;3737239;93719;TIME_LIMIT;2.803814e6;41444;rounding
1;150;12;9;3603.254;-3.109199857197575e-15;-4.663799785796363e-13;2.008313243091797;6.459260695135746e14;5230913;71271;TIME_LIMIT;1.994077e6;25220;vertex
2;150;12;9;3603.394;-3.1395543153509898e-15;-4.709331473026484e-13;1.9512822416170605;6.215156820432059e14;4992098;63233;TIME_LIMIT;2.7377e6;26830;vertex
3;150;12;9;3603.464;-3.3264324711810126e-15;-4.989648706771519e-13;2.1686838326264772;6.519548649837795e14;4971315;52483;TIME_LIMIT;2.570666e6;21937;vertex
1;150;12;18;3603.943;-0.9589918252792431;-143.84877379188646;2.9762565122200177;3.1035264678647074;5859894;36565;TIME_LIMIT;211988.0;3552;rounding_lmo_01
2;150;12;18;3604.263;-0.985602059354738;-147.8403089032107;2.861940017186874;2.903748008664422;5790032;38007;TIME_LIMIT;956614.0;9261;rounding_lmo_01
3;150;12;18;3604.449;-0.9304321107624763;-139.56481661437144;3.088946318677044;3.3199051096223395;6788033;37483;TIME_LIMIT;3.584076e6;18697;rounding
1;150;12;44;3602.632;-3.1863154695466642;-477.94732043199963;4.6345427895234925;1.4545147314565423;4113661;83691;TIME_LIMIT;2.749849e6;36910;vertex
2;150;12;44;3602.415;-3.062261855808538;-459.3392783712807;4.3656700178639305;1.4256357631804317;3247752;73329;TIME_LIMIT;1.55781e6;22953;vertex
3;150;12;44;3602.829;-3.2199269804892854;-482.9890470733928;5.295203789426459;1.6445105188757492;3846001;63541;TIME_LIMIT;1.134444e6;18133;rounding_lmo_01
1;200;14;10;3602.479;-3.1901631663604975e-15;-6.380326332720995e-13;2.669142223561544;8.366789046112142e14;3601370;48413;TIME_LIMIT;3.541268e6;23946;vertex
2;200;14;10;3602.381;-3.590581560637907e-15;-7.181163121275813e-13;2.5016140162569505;6.967155526227654e14;4464311;59513;TIME_LIMIT;1.32202e6;16655;vertex
3;200;14;10;3602.473;-3.3206557113156336e-15;-6.641311422631268e-13;2.749828476089223;8.280980369987678e14;3743893;54759;TIME_LIMIT;3.323728e6;25999;vertex
1;200;14;21;3603.075;-1.0490445647265265;-209.8089129453053;4.158034416846665;3.9636394455087958;4551990;25927;TIME_LIMIT;471842.0;3859;rounding
2;200;14;21;3602.988;-0.9742688843861541;-194.8537768772308;4.042311563859688;4.149071810300684;4622740;32609;TIME_LIMIT;1.855299e6;11073;rounding
3;200;14;21;3602.859;-1.0461130094905589;-209.22260189811178;4.313012169560753;4.122893158226876;4550864;31403;TIME_LIMIT;1.33653e6;8613;rounding
1;200;14;55;3602.136;-3.928484947371323;-785.6969894742646;7.318566074349268;1.8629487378451988;3256098;56441;TIME_LIMIT;2.412896e6;21926;vertex
2;200;14;55;3602.579;-3.772391174348571;-754.4782348697142;6.94563653072593;1.8411761160811553;3772269;54071;TIME_LIMIT;2.772343e6;22972;vertex
3;200;14;55;3602.506;-4.1157332678000085;-823.1466535600017;7.585115859966811;1.8429561311249159;3741734;62351;TIME_LIMIT;1.671804e6;19950;vertex
