seed;numberOfExperiments;numberOfParameters;N;time;solution;scaled_solution;dual_gap;rel_dual_gap;ncalls;num_nodes;termination;optimal_time;optimal_iteration;solution_source
1;50;7;5;3602.865;-1.4741404771645778e-15;-1.4741404771645778e-15;0.5081881705439094;3.4473523956236475e14;4844408;117613;TIME_LIMIT;32176.0;4331;vertex
2;50;7;5;3602.964;-1.4778885991176367e-15;-1.4778885991176367e-15;0.4676875055040032;3.164565352105922e14;4755170;127365;TIME_LIMIT;987166.0;41208;vertex
3;50;7;5;3602.998;-1.5449267409195872e-15;-1.5449267409195872e-15;0.5411359218637457;3.502663961539336e14;4715853;112187;TIME_LIMIT;107078.0;9737;vertex
1;50;7;10;3603.436;-0.6563349813967121;-0.6563349813967121;0.5661805762073904;0.8626396463015443;8309743;95087;TIME_LIMIT;11518.0;1162;vertex
2;50;7;10;3603.192;-0.6781563599766722;-0.6781563599766722;0.57447648324923;0.8471150860680438;8389591;110861;TIME_LIMIT;130391.0;6180;rounding
3;50;7;10;3604.039;-0.6964447883728754;-0.6964447883728754;0.6445168111605758;0.925438486899126;11355871;93663;TIME_LIMIT;63889.0;2360;rounding
1;50;7;20;3601.9;-1.399003629813532;-1.399003629813532;1.0550906909661246;0.7541729474331341;3756488;119189;TIME_LIMIT;702037.0;28277;vertex
2;50;7;20;3601.818;-1.5505104781410823;-1.5505104781410823;0.9151877322669182;0.5902493050960501;3691291;129857;TIME_LIMIT;38515.0;5570;vertex
3;50;7;20;3602.593;-1.6247267883900074;-1.6247267883900074;1.1449598097540439;0.7047091350593292;4486439;114191;TIME_LIMIT;3.048095e6;52780;vertex
1;100;10;7;3603.714;-2.3156160713352357e-15;-2.3156160713352357e-15;1.2548729659609617;5.4191754043120544e14;5594585;77787;TIME_LIMIT;277835.0;9096;vertex
2;100;10;7;3603.251;-2.0449475868248706e-15;-2.0449475868248706e-15;1.2100947389766483;5.917485351570925e14;4977816;79449;TIME_LIMIT;2.800837e6;35704;vertex
3;100;10;7;3603.681;-2.308225675089128e-15;-2.308225675089128e-15;1.3206290079915974;5.721403336961859e14;5114144;75885;TIME_LIMIT;2.289468e6;30464;vertex
1;100;10;15;3608.044;-0.8851753076274499;-0.8851753076274499;1.7900602363680744;2.022266347630056;12042192;34221;TIME_LIMIT;377601.0;3786;vertex
2;100;10;15;3605.168;-0.7796819289487729;-0.7796819289487729;1.6632787723922935;2.1332785981520104;7279251;66323;TIME_LIMIT;637044.0;11920;vertex
3;100;10;15;3604.939;-0.878765888203487;-0.878765888203487;1.9198497374710446;2.1847112675207576;7829281;64273;TIME_LIMIT;764903.0;12745;rounding
1;100;10;34;3604.551;-2.242802124626344;-2.242802124626344;3.21224822777965;1.4322477192743064;6448628;70945;TIME_LIMIT;3.434656e6;34675;vertex
2;100;10;34;3606.693;-2.1478201993451256;-2.1478201993451256;2.807512280025244;1.307144928090936;8848363;56987;TIME_LIMIT;2.112465e6;20319;vertex
