seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters
1,50,7,3600.005713,5,9.922595205880125e-6,1.1795328212833132,118872.41938370343,2.3389049229290424e-14,TIME_LIMIT,true,590681,6079142,2412251,0
2,50,7,3600.0036,5,9.971650127770593e-6,0.8768445973757251,87932.75079754881,2.8714459099963706e-14,TIME_LIMIT,true,613654,5932152,2414556,0
3,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
4,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
5,50,7,3600.0,5,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
1,50,7,40.60827,10,33.452840040613026,33.527036176704605,0.0022179323489874866,-33.45284004061308,OPTIMAL,true,2430,229768,30813,0
2,50,7,36.151878,10,23.764932299052386,23.830542021282213,0.0027607788401923018,-23.7649322990524,OPTIMAL,true,2705,238030,23746,0
3,50,7,2.520805,10,37.24302271370189,37.256288185681676,0.0003561867703854534,-37.24302271370185,OPTIMAL,true,100,24307,1215,0
4,50,7,55.770814,10,22.993689716101002,23.13797241217784,0.006274882276758193,-22.993689716100974,OPTIMAL,true,2451,343528,35764,0
5,50,7,2.711329,10,37.28363954984935,37.28498490677018,3.608437741252984e-5,-37.283639549849234,OPTIMAL,true,146,21509,2260,0
1,50,7,20.95779,20,66.75764572599022,66.76428445707484,9.94452547333673e-5,-66.75764572599013,OPTIMAL,true,1712,176437,14825,0
2,50,7,5.642252,20,48.69732897341554,49.18424159608324,0.009998754201354945,-48.69732897341546,OPTIMAL,true,457,50729,2943,0
3,50,7,0.041472999999999996,20,67.19462780983673,67.83811350433079,0.009576445550307218,-67.19462780983679,OPTIMAL,true,6,162,66,0
4,50,7,5.236358,20,48.85285886114304,49.071553605204144,0.0044766007386120585,-48.85285886114288,OPTIMAL,true,439,54875,2928,0
5,50,7,8.681161,20,71.62147254840336,71.91182690318861,0.004054012636908895,-71.62147254840335,OPTIMAL,true,572,76220,4728,0
1,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
2,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
3,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
4,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
5,80,8,3600.0,6,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
1,80,8,119.688682,12,69.75713531226204,69.93515705539288,0.0025520219879148123,-69.75713531226219,OPTIMAL,true,4704,464509,79919,0
2,80,8,411.289399,12,47.092835853544926,47.14195721865438,0.0010430751136376773,-47.092835853545125,OPTIMAL,true,17176,1251107,342589,0
3,80,8,545.297584,12,49.08266353223604,49.22394074462073,0.0028783526039066662,-49.08266353223607,OPTIMAL,true,22985,1457238,393587,0
4,80,8,100.540488,12,69.84204493019254,69.85696833777374,0.00021367369177276063,-69.84204493019264,OPTIMAL,true,3386,437307,51544,0
5,80,8,354.066319,12,63.66229730048525,64.23560327131524,0.009005423855881212,-63.66229730048506,OPTIMAL,true,11776,978573,247157,0
1,80,8,22.073566,24,148.36053613616025,149.8404677652253,0.009975237806547278,-148.3605361361604,OPTIMAL,true,1437,142618,9978,0
