seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,tightened,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters
1,80,26,50.25635,40,12.053641796625776,12.650621970403169,0.049526954911212624,false,-12.053649358591528,OPTIMAL,true,7,0,0,203
2,80,26,50.20613,40,11.608819331551258,12.121522611064174,0.04416498050921125,false,-11.608819442474328,OPTIMAL,true,5,0,0,155
3,80,26,50.315595,40,12.125465719205849,12.718079474548572,0.048873484043096736,false,-12.125465803673483,OPTIMAL,true,12,0,0,339
4,80,26,50.155729,40,11.875668949446244,12.340606743363695,0.03915045088379055,false,-11.875668949446476,OPTIMAL,true,2,0,0,73
5,80,26,51.291176,40,12.265471139132524,12.852708820942901,0.04787730329712467,false,-12.265472825187302,OPTIMAL,true,8,0,0,228
1,100,33,50.265137,50,10.770913819532556,11.279422217963146,0.047211258668548084,false,-10.77091560058696,OPTIMAL,true,4,0,0,129
2,100,33,50.14569,50,10.610767274106378,10.978131418662995,0.03462182659053338,false,-10.61076859333669,OPTIMAL,true,1,0,0,36
3,100,33,50.144024,50,10.360124300655068,10.63086305232078,0.026132770593166894,false,-10.360124633264821,OPTIMAL,true,1,0,0,36
4,100,33,50.141172,50,10.687884710806664,11.177013028966973,0.04576474497949491,false,-10.687884711113853,OPTIMAL,true,1,0,0,35
5,100,33,50.146271,50,9.906648649565373,10.09206150127702,0.018716001573325296,false,-9.906648649638624,OPTIMAL,true,1,0,0,39
1,150,50,50.203775,75,8.784618250587485,9.118337979487995,0.037989098601773845,false,-8.784618436810923,OPTIMAL,true,1,0,0,40
2,150,50,50.205128,75,8.310223416349118,8.319407450747773,0.0011051489158026213,false,-8.310224683896596,OPTIMAL,true,1,0,0,45
3,150,50,50.201108,75,8.850524323458142,9.107532871117394,0.02903879343939612,false,-8.85052439620912,OPTIMAL,true,1,0,0,41
4,150,50,50.238788,75,9.230295064490294,9.529105405843236,0.032372783238803486,false,-9.23029620828012,OPTIMAL,true,1,0,0,38
5,150,50,50.202248,75,8.275646277413797,8.281160792324046,0.0006663545933928769,false,-8.27564857172273,OPTIMAL,true,1,0,0,43
1,200,66,50.292061,100,8.924514080381892,9.349933939729222,0.0476686859940644,false,-8.924514080393418,OPTIMAL,true,1,0,0,44
2,200,66,50.452514,100,9.162598515799562,9.401428930494356,0.026065795012513753,false,-9.162598515805684,OPTIMAL,true,1,0,0,50
3,200,66,50.28811,100,9.100343905903378,9.389170257234298,0.03173796005045029,false,-9.100343906062776,OPTIMAL,true,1,0,0,40
4,200,66,50.285467,100,8.250071666138368,8.398249811846426,0.017960831336319382,false,-8.25007166643659,OPTIMAL,true,1,0,0,43
5,200,66,50.293279,100,9.239602463727728,9.642498268432169,0.04360531811688921,false,-9.23960246376376,OPTIMAL,true,1,0,0,41
