seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters,tightened
1,80,26,3600.005101,40,3.230732258743342,3.2979433694740576,0.020803677107201303,Inf,TIME_LIMIT,false,199916,0,0,5869227,
2,80,26,52.445273,40,2.6113329988673026,2.7324101955940296,0.04636605012813215,-2.6113329988696505,OPTIMAL,true,133,0,0,3802,false
3,80,26,254.363316,40,3.399539377837126,3.56951481176789,0.0499995484796846,-3.3995393982187805,OPTIMAL,true,11763,0,0,318774,false
4,80,26,2731.650497,40,3.30755843155516,3.4729360659058908,0.04999991316040729,-3.3075587322054454,OPTIMAL,true,174021,0,0,4577298,false
5,80,26,57.412735,40,3.2159908935576618,3.367667888146483,0.047163378134143244,-3.215991586704659,OPTIMAL,true,448,0,0,12338,false
1,100,33,50.142483,50,1.736948677497687,1.8003171884680673,0.03648266168789245,-1.7369486775049072,OPTIMAL,true,1,0,0,40,false
2,100,33,394.388723,50,2.968791259336648,3.1031219219240316,0.04524759434161044,Inf,OPTIMAL,false,13433,0,0,371832,false
3,100,33,3013.963053,50,3.0139720776300765,3.1530218298980097,0.04613504992298064,-3.013972122674166,OPTIMAL,true,127963,0,0,3791533,false
4,100,33,3600.004824,50,3.039077812134212,3.223201232151273,0.06058529310500242,-3.0390778121373883,TIME_LIMIT,true,172764,0,0,4738886,false
5,100,33,61.74115,50,2.8689287793326463,2.999629679920588,0.04555738766660652,-2.868928779813598,OPTIMAL,true,515,0,0,15028,false
1,150,50,1578.039851,75,2.5585174828125004,2.682183472457734,0.048335018414371524,-2.5585174878581554,OPTIMAL,true,33523,0,0,954987,false
2,150,50,3600.003391,75,2.5805109478176362,2.8309468526307087,0.0970489604102895,-2.5805109486103612,TIME_LIMIT,true,81523,0,0,2276142,false
3,150,50,3600.002707,75,2.579451717836479,2.901915803167196,0.12501264633136253,-2.5794518192316973,TIME_LIMIT,true,83880,0,0,2377244,false
4,150,50,3600.001715,75,2.5416803445529745,2.744284878904187,0.07971283044518578,-2.5416804881082102,TIME_LIMIT,true,87220,0,0,2433946,false
5,150,50,3600.002116,75,2.2788905729705387,2.3877186530599324,0.04775485114563271,Inf,TIME_LIMIT,false,79734,0,0,2443967,
1,200,66,3600.004293,100,2.2553932864932813,2.4675869872988803,0.0940827934872152,-2.2553933458440083,TIME_LIMIT,true,36353,0,0,1327287,false
2,200,66,3600.002757,100,2.2440519069955918,2.39690566443928,0.06811507210113228,Inf,TIME_LIMIT,false,38705,0,0,1284891,
3,200,66,3600.00196,100,2.270592008658348,2.3625145129257907,0.04048393719211498,Inf,TIME_LIMIT,false,39418,0,0,1305896,
4,200,66,3600.00377,100,2.1303525613778844,2.3761624784300306,0.11538461825922348,Inf,TIME_LIMIT,false,39135,0,0,1338859,false
5,200,66,3600.133518,100,2.464979630702119,2.698651795804264,0.09479679352789887,-2.46497975317254,TIME_LIMIT,true,41917,0,0,1329859,false
