dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,quasi_optimal,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
80,Boscia,5,5,100.0,27.6513,57.3041,,0,0,228589.4,1009.0,0.0,0.0
100,Boscia,5,5,100.0,4.8794,112.7265,,0,0,162429.6,964.6,0.0,0.0
150,Boscia,5,5,100.0,0.7255,0.399,,0,0,207.2,7.0,0.0,0.0
200,Boscia,5,5,100.0,3.3127,11.2286,,0,0,4954.4,69.4,0.0,0.0
80,SCIPSDP_oa,5,5,100.0,0.769,0.8915,,0,0,0.0,15.4,165.0,0.0
100,SCIPSDP_oa,5,5,100.0,0.393,0.2172,,0,0,0.0,5.6,94.0,0.0
150,SCIPSDP_oa,5,5,100.0,0.2824,0.2888,,0,0,0.0,4.2,88.4,0.0
200,SCIPSDP_oa,5,5,100.0,1.0898,1.2487,,0,0,0.0,23.4,175.8,0.0
80,SCIPSDP_bnb,5,5,100.0,50.4432,0.4264,,0,0,0.0,6.8,0.0,199.6
100,SCIPSDP_bnb,5,5,100.0,50.1684,0.0484,,0,0,0.0,1.6,0.0,55.0
150,SCIPSDP_bnb,5,5,100.0,50.2102,0.0144,,0,0,0.0,1.0,0.0,41.4
200,SCIPSDP_bnb,5,5,100.0,50.3222,0.0652,,0,0,0.0,1.0,0.0,43.6
-1,Boscia,20,20,100.0,4.2436,66.7409,,0,0,99045.15,512.5,0.0,0.0
-1,SCIPSDP_oa,20,20,100.0,0.5523,0.919,,0,0,0.0,12.15,130.8,0.0
-1,SCIPSDP_bnb,20,20,100.0,50.2859,0.2423,,0,0,0.0,2.6,0.0,84.9
