dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,quasi_optimal,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
80,Boscia,5,0,0.0,3602.377,0.5087,0.105384,0,0,0.0,0.0,0.0,0.0
100,Boscia,5,2,40.0,342.1185,2533.4663,0.087048,0,0,25503.5,494.0,0.0,0.0
150,Boscia,5,2,40.0,241.8849,2605.9549,0.086456,0,0,17279.0,407.0,0.0,0.0
200,Boscia,5,0,0.0,3601.0248,0.1552,0.105432,0,0,0.0,0.0,0.0,0.0
80,Boscia (baseline),5,5,100.0,25.8272,66.4805,,0,0,231819.2,988.6,0.0,0.0
100,Boscia (baseline),5,5,100.0,1.002,143.814,,0,0,193304.6,1118.6,0.0,0.0
150,Boscia (baseline),5,5,100.0,0.4835,0.7039,,0,0,418.8,11.0,0.0,0.0
200,Boscia (baseline),5,5,100.0,3.1471,25.9111,,0,0,8549.8,94.2,0.0,0.0
-1,Boscia,20,4,20.0,1017.8884,2354.1958,0.097983,0,0,21391.25,450.5,0.0,0.0
-1,Boscia (baseline),20,20,100.0,2.505,82.7936,,0,0,108523.1,553.1,0.0,0.0
