dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,quasi_optimal,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
50,Boscia,10,10,100.0,75.6994,591.4955,,0,0,5.4573747e6,1170.4,0.0,0.0
80,Boscia,10,6,60.0,368.0749,2222.9168,0.097726,0,0,7.09270267e6,1508.67,0.0,0.0
100,Boscia,10,5,50.0,1487.3996,1614.5474,0.228403,0,0,5.3728434e6,1330.2,0.0,0.0
120,Boscia,10,3,30.0,3110.72,771.1033,0.180196,0,0,2.213008967e7,4547.0,0.0,0.0
150,Boscia,10,1,10.0,3322.3518,601.2584,0.215823,0,0,1.1139224e7,2375.0,0.0,0.0
50,SCIPSDP_oa,10,10,100.0,4.8,18.9238,,0,0,0.0,799.7,10015.2,0.0
80,SCIPSDP_oa,10,10,100.0,21.4124,221.0211,,0,0,0.0,6045.5,111951.2,0.0
100,SCIPSDP_oa,10,5,50.0,1179.4325,1924.1806,,5,0,0.0,30877.8,145715.8,0.0
120,SCIPSDP_oa,10,4,40.0,901.4535,2140.9562,0.064516,5,0,0.0,8760.25,122695.0,0.0
150,SCIPSDP_oa,10,0,0.0,3600.0342,0.0983,0.215275,0,0,0.0,0.0,0.0,0.0
50,SCIPSDP_bnb,10,10,100.0,54.7577,6.2768,,0,0,0.0,1313.7,0.0,26369.5
80,SCIPSDP_bnb,10,10,100.0,112.4077,81.2744,,0,0,0.0,14179.6,0.0,355072.5
100,SCIPSDP_bnb,10,4,40.0,2672.3239,951.1181,0.056847,0,0,0.0,72748.0,0.0,2.5584185e6
120,SCIPSDP_bnb,10,1,10.0,3582.2961,51.9663,0.055452,0,0,0.0,204574.0,0.0,7.21547e6
150,SCIPSDP_bnb,10,0,0.0,3600.0044,0.0014,0.085708,0,0,0.0,0.0,0.0,0.0
-1,Boscia,50,25,50.0,845.9164,2071.9021,0.182821,0,0,8.06094692e6,1736.92,0.0,0.0
-1,SCIPSDP_oa,50,29,58.0,217.5557,2239.041,0.192938,10,0,0.0,8892.48,84104.24,0.0
-1,SCIPSDP_bnb,50,25,50.0,736.4643,2121.1081,0.066397,0,0,0.0,26019.96,0.0,850542.56
