dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
50,Boscia,15,0,0.0,3601.3061,0.9888,1.1963400424558e7,5,0.0,0.0,0.0,0.0
80,Boscia,15,0,0.0,3602.6188,2.0833,33170.740038,0,0.0,0.0,0.0,0.0
100,Boscia,15,0,0.0,3602.6613,1.9282,32941.924494,0,0.0,0.0,0.0,0.0
120,Boscia,15,0,0.0,3602.7439,2.0649,87174.759899,0,0.0,0.0,0.0,0.0
150,Boscia,15,0,0.0,3602.0678,1.4723,63388.027287,0,0.0,0.0,0.0,0.0
50,SCIPSDP_oa,15,10,66.67,170.512,1982.7619,798.436148,1,0.0,5778.4,33614.9,0.0
80,SCIPSDP_oa,15,3,20.0,3192.2501,666.5286,35.783329,0,0.0,53864.67,291783.67,0.0
100,SCIPSDP_oa,15,0,0.0,3600.0207,0.0735,18032.397422,0,0.0,0.0,0.0,0.0
120,SCIPSDP_oa,15,0,0.0,3600.0008,0.001,21395.501516,0,0.0,0.0,0.0,0.0
150,SCIPSDP_oa,15,0,0.0,3600.0005,0.0005,579.184015,0,0.0,0.0,0.0,0.0
50,SCIPSDP_bnb,15,10,66.67,258.9812,1935.035,8466.873305,0,0.0,5608.8,0.0,122388.4
80,SCIPSDP_bnb,15,10,66.67,1299.9142,1557.6373,530028.128509,0,0.0,185985.9,0.0,5.5145907e6
100,SCIPSDP_bnb,15,0,0.0,3600.007,0.0078,17.578039,0,0.0,0.0,0.0,0.0
120,SCIPSDP_bnb,15,0,0.0,3600.0095,0.0143,21.422728,0,0.0,0.0,0.0,0.0
150,SCIPSDP_bnb,15,0,0.0,3600.0034,0.0011,39.33355,0,0.0,0.0,0.0,0.0
