N_construction,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
rank_deficient,large_mu,12,0,0.0,3611.7306,8.3384,1.42297556786215e14,0,0.0,0.0,0.0,0.0
rank_deficient,small_mu,12,0,0.0,3611.7306,8.3384,1.42297556786215e14,0,0.0,0.0,0.0,0.0
rank_deficient,decay_0.9,12,0,0.0,3611.7306,8.3384,1.42297556786215e14,0,0.0,0.0,0.0,0.0
rank_deficient,decay_0.7,12,0,0.0,3611.7306,8.3384,1.42297556786215e14,0,0.0,0.0,0.0,0.0
one,large_mu,12,1,8.33,2876.8637,1028.0841,0.925151,0,2.60796e6,35437.0,0.0,0.0
one,small_mu,12,1,8.33,2876.8637,1028.0841,0.925151,0,2.60796e6,35437.0,0.0,0.0
one,decay_0.9,12,1,8.33,2876.8637,1028.0841,0.925151,0,2.60796e6,35437.0,0.0,0.0
one,decay_0.7,12,1,8.33,2876.8637,1028.0841,0.925151,0,2.60796e6,35437.0,0.0,0.0
log,large_mu,12,1,8.33,2703.806,1137.7013,0.260292,1,1.182992e6,16975.0,0.0,0.0
log,small_mu,12,1,8.33,2703.806,1137.7013,0.260292,1,1.182992e6,16975.0,0.0,0.0
log,decay_0.9,12,1,8.33,2703.806,1137.7013,0.260292,1,1.182992e6,16975.0,0.0,0.0
log,decay_0.7,12,1,8.33,2703.806,1137.7013,0.260292,1,1.182992e6,16975.0,0.0,0.0
