dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
50,large_mu,9,2,22.22,1826.8254,1754.7477,199838.045814,0,1.895476e6,26206.0,0.0,0.0
100,large_mu,9,0,0.0,3603.8888,5.5342,34207.232786,0,0.0,0.0,0.0,0.0
150,large_mu,9,0,0.0,3602.1267,3.0212,46421.954687,0,0.0,0.0,0.0,0.0
200,large_mu,9,0,0.0,3601.2462,1.7646,290820.33518,1,0.0,0.0,0.0,0.0
50,small_mu,9,2,22.22,1826.8254,1754.7477,199838.045814,0,1.895476e6,26206.0,0.0,0.0
100,small_mu,9,0,0.0,3603.8888,5.5342,34207.232786,0,0.0,0.0,0.0,0.0
150,small_mu,9,0,0.0,3602.1267,3.0212,46421.954687,0,0.0,0.0,0.0,0.0
200,small_mu,9,0,0.0,3601.2462,1.7646,290820.33518,1,0.0,0.0,0.0,0.0
50,decay_0.9,9,2,22.22,1826.8254,1754.7477,199838.045814,0,1.895476e6,26206.0,0.0,0.0
100,decay_0.9,9,0,0.0,3603.8888,5.5342,34207.232786,0,0.0,0.0,0.0,0.0
150,decay_0.9,9,0,0.0,3602.1267,3.0212,46421.954687,0,0.0,0.0,0.0,0.0
200,decay_0.9,9,0,0.0,3601.2462,1.7646,290820.33518,1,0.0,0.0,0.0,0.0
50,decay_0.7,9,2,22.22,1826.8254,1754.7477,199838.045814,0,1.895476e6,26206.0,0.0,0.0
100,decay_0.7,9,0,0.0,3603.8888,5.5342,34207.232786,0,0.0,0.0,0.0,0.0
150,decay_0.7,9,0,0.0,3602.1267,3.0212,46421.954687,0,0.0,0.0,0.0,0.0
200,decay_0.7,9,0,0.0,3601.2462,1.7646,290820.33518,1,0.0,0.0,0.0,0.0
