N_construction,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
rank_deficient,large_mu,12,0,0.0,3600.7691,1.3833,3.633980625439372e14,9,0.0,0.0,0.0,0.0
rank_deficient,small_mu,12,0,0.0,3601.3738,0.883,4.0930267127836375e14,3,0.0,0.0,0.0,0.0
rank_deficient,decay_0.9,12,0,0.0,3602.9935,1.6045,2.03899061230921e14,1,0.0,0.0,0.0,0.0
rank_deficient,decay_0.7,12,0,0.0,3603.8539,3.5641,1.8744555105003503e14,4,0.0,0.0,0.0,0.0
one,large_mu,12,0,0.0,3600.3602,0.6302,0.666723,9,0.0,0.0,0.0,0.0
one,small_mu,12,0,0.0,3601.5903,0.9461,1.349112,3,0.0,0.0,0.0,0.0
one,decay_0.9,12,0,0.0,3602.591,1.2391,0.480654,0,0.0,0.0,0.0,0.0
one,decay_0.7,12,0,0.0,3600.0171,0.0179,0.540364,3,0.0,0.0,0.0,0.0
log,large_mu,12,0,0.0,3600.292,0.509,0.097037,9,0.0,0.0,0.0,0.0
log,small_mu,12,0,0.0,3601.9769,1.2129,0.222101,3,0.0,0.0,0.0,0.0
log,decay_0.9,12,0,0.0,3602.4049,0.8372,0.181102,0,0.0,0.0,0.0,0.0
log,decay_0.7,12,0,0.0,3602.25,0.8271,0.184023,0,0.0,0.0,0.0,0.0
