dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
50,large_mu,9,0,0.0,3601.8953,0.9538,28647.62622,0,0.0,0.0,0.0,0.0
100,large_mu,9,0,0.0,3600.0,0.0,,9,0.0,0.0,0.0,0.0
150,large_mu,9,0,0.0,3600.0,0.0,,9,0.0,0.0,0.0,0.0
200,large_mu,9,0,0.0,3600.0,0.0,,9,0.0,0.0,0.0,0.0
50,small_mu,9,0,0.0,3600.0,0.0,,9,0.0,0.0,0.0,0.0
100,small_mu,9,0,0.0,3602.3887,0.6001,46796.764393,0,0.0,0.0,0.0,0.0
150,small_mu,9,0,0.0,3602.2968,0.4267,48214.868129,0,0.0,0.0,0.0,0.0
200,small_mu,9,0,0.0,3601.903,0.3883,54355.888781,0,0.0,0.0,0.0,0.0
50,decay_0.9,9,0,0.0,3602.3556,2.127,12020.37996,0,0.0,0.0,0.0,0.0
100,decay_0.9,9,0,0.0,3602.7523,1.0559,1671.826998,1,0.0,0.0,0.0,0.0
150,decay_0.9,9,0,0.0,3603.0997,0.6981,35306.752595,0,0.0,0.0,0.0,0.0
200,decay_0.9,9,0,0.0,3602.4449,0.4344,38264.129902,0,0.0,0.0,0.0,0.0
50,decay_0.7,9,0,0.0,3600.3833,0.5443,0.097016,6,0.0,0.0,0.0,0.0
100,decay_0.7,9,0,0.0,3603.3444,4.0263,1237.687181,1,0.0,0.0,0.0,0.0
150,decay_0.7,9,0,0.0,3602.6551,2.1446,28896.379956,0,0.0,0.0,0.0,0.0
200,decay_0.7,9,0,0.0,3601.7778,1.3242,36932.051444,0,0.0,0.0,0.0,0.0
