dimension,solver,n_instances,n_solved,pct_solved,time_geom_mean,time_std_wrt_geom,rel_gap_geom_mean_unsolved,failed_instances,quasi_optimal,avg_lmo_calls,avg_nodes,avg_cuts,avg_sdp_iters
45,ACST (Boscia),3,3,100.0,500.8269,356.1581,,0,0,1.07435567e6,37688.33,0.0,0.0
66,ACST (Boscia),3,0,0.0,3600.025,0.0057,0.600739,0,0,0.0,0.0,0.0,0.0
105,ACST (Boscia),3,0,0.0,3600.2663,0.1869,2.008997,0,0,0.0,0.0,0.0,0.0
300,ACST (Boscia),3,0,0.0,3602.4137,0.0005,5.965686,0,0,0.0,0.0,0.0,0.0
780,ACST (Boscia),3,0,0.0,3600.8523,0.0308,11.590851,0,0,0.0,0.0,0.0,0.0
1770,ACST (Boscia),3,0,0.0,3600.2943,0.0144,21.358233,0,0,0.0,0.0,0.0,0.0
4950,ACST (Boscia),3,0,0.0,3600.086,0.0088,57.511544,0,0,0.0,0.0,0.0,0.0
45,SCIPSDP_oa,3,0,0.0,3600.0,0.0,,3,0,0.0,0.0,0.0,0.0
66,SCIPSDP_oa,3,0,0.0,3600.0,0.0,,3,0,0.0,0.0,0.0,0.0
105,SCIPSDP_oa,3,0,0.0,3600.0004,0.0002,5.530274,0,0,0.0,0.0,0.0,0.0
300,SCIPSDP_oa,3,0,0.0,3600.0008,0.0003,1.0000000000000007e20,0,0,0.0,0.0,0.0,0.0
780,SCIPSDP_oa,3,0,0.0,3600.0022,0.0008,1.0000000000000007e20,0,0,0.0,0.0,0.0,0.0
1770,SCIPSDP_oa,3,0,0.0,3600.0471,0.061,1.0000000000000007e20,0,0,0.0,0.0,0.0,0.0
4950,SCIPSDP_oa,3,0,0.0,3601.1052,1.5587,1.0000000000000007e20,1,0,0.0,0.0,0.0,0.0
45,SCIPSDP_bnb,3,0,0.0,3600.0058,0.0014,0.108146,0,0,0.0,0.0,0.0,0.0
66,SCIPSDP_bnb,3,0,0.0,3600.0054,0.0018,0.724433,0,0,0.0,0.0,0.0,0.0
105,SCIPSDP_bnb,3,0,0.0,3600.0056,0.001,3.133151,0,0,0.0,0.0,0.0,0.0
300,SCIPSDP_bnb,3,0,0.0,3600.0071,0.0074,20.886093,0,0,0.0,0.0,0.0,0.0
780,SCIPSDP_bnb,3,0,0.0,3600.0648,0.0716,4.004119187119949e10,0,0,0.0,0.0,0.0,0.0
1770,SCIPSDP_bnb,3,0,0.0,3600.0505,0.0548,1.0000000000000007e20,1,0,0.0,0.0,0.0,0.0
4950,SCIPSDP_bnb,3,0,0.0,3600.0,0.0,,3,0,0.0,0.0,0.0,0.0
-1,ACST (Boscia),21,3,14.29,2716.4193,1152.1187,6.841115,0,0,1.07435567e6,37688.33,0.0,0.0
-1,SCIPSDP_oa,21,0,0.0,3600.1651,0.7038,7.47215214984358e15,7,0,0.0,0.0,0.0,0.0
-1,SCIPSDP_bnb,21,0,0.0,3600.0199,0.0419,22348.023358,4,0,0.0,0.0,0.0,0.0
