seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
2,10,238.0,-3.360992542461425,-0.16566197620826936,TIME_LIMIT,55,0,0,16,0
2,10,555.0,-3.360992542461425,-0.16566197620826936,TIME_LIMIT,92,0,0,25,0
2,10,870.0,-3.340932999344545,-0.1795552079703561,TIME_LIMIT,133,0,0,26,0
2,10,1186.0,-3.340932999344545,-0.31966221248486737,TIME_LIMIT,168,0,0,14,0
2,10,1504.0,-3.335201264828444,-0.31966221248486737,TIME_LIMIT,219,0,0,30,0
2,10,1821.0,-3.335201264828444,-0.33741762503680384,TIME_LIMIT,255,0,0,27,0
2,10,2136.0,-3.313307186814201,-0.33741762503680384,TIME_LIMIT,300,0,0,26,0
2,10,2455.0,-3.313307186814201,-0.33741762503680384,TIME_LIMIT,322,0,0,33,0
2,10,2771.0,-3.3120280456783857,-0.33741762503680384,TIME_LIMIT,372,0,0,28,0
2,10,3090.0,-3.3120280456783857,-0.33741762503680384,TIME_LIMIT,404,0,0,34,0
2,10,3406.0,-3.2996640641150097,-0.3523034347077632,TIME_LIMIT,454,0,0,25,0
2,10,3671.0,-3.2996640641150097,-0.3523034347077632,TIME_LIMIT,489,0,0,36,0
2,10,3977.0,-3.2972892245291097,-0.3523034347077632,TIME_LIMIT,537,0,0,22,0
2,10,4293.0,-3.2972892245291097,-0.3523034347077632,TIME_LIMIT,580,0,0,25,0
2,10,4611.0,-3.280491773321912,-0.3523034347077632,TIME_LIMIT,608,0,0,35,0
2,10,4930.0,-3.280491773321912,-0.3523034347077632,TIME_LIMIT,635,0,0,28,0
2,10,5247.0,-3.2798729748402264,-0.3523034347077632,TIME_LIMIT,673,0,0,23,0
2,10,5564.0,-3.2798729748402264,-0.500164478538533,TIME_LIMIT,714,0,0,23,0
2,10,5882.0,-3.2798609644586367,-0.500164478538533,TIME_LIMIT,763,0,0,28,0
2,10,6199.0,-3.2798609644586367,-0.500164478538533,TIME_LIMIT,797,0,0,38,0
2,10,6516.0,-3.277460401568999,-0.500164478538533,TIME_LIMIT,842,0,0,23,0
2,10,6835.0,-3.277460401568999,-0.500164478538533,TIME_LIMIT,884,0,0,26,0
2,10,7151.0,-3.271831030846311,-0.500164478538533,TIME_LIMIT,934,0,0,22,0
2,10,7472.0,-3.271831030846311,-0.500164478538533,TIME_LIMIT,966,0,0,38,0
2,10,7790.0,-3.2714392829269157,-0.500164478538533,TIME_LIMIT,1014,0,0,24,0
2,10,8088.0,-3.2714392829269157,-0.500164478538533,TIME_LIMIT,1045,0,0,38,0
2,10,8405.0,-3.269737577698959,-0.500164478538533,TIME_LIMIT,1096,0,0,27,0
2,10,8710.0,-3.269737577698959,-0.500164478538533,TIME_LIMIT,1127,0,0,37,0
2,10,9028.0,-3.2641148069793524,-0.500164478538533,TIME_LIMIT,1176,0,0,27,0
2,10,9177.0,-3.2641148069793524,-0.500164478538533,TIME_LIMIT,1201,0,0,13,0
2,10,9482.0,-3.2606253848551376,-0.500164478538533,TIME_LIMIT,1251,0,0,26,0
2,10,9801.0,-3.2606253848551376,-0.500164478538533,TIME_LIMIT,1284,0,0,26,0
2,10,10120.0,-3.255648046398227,-0.500164478538533,TIME_LIMIT,1331,0,0,22,0
2,10,10440.0,-3.255648046398227,-0.500164478538533,TIME_LIMIT,1364,0,0,27,0
2,10,10761.0,-3.2548933154878505,-0.500164478538533,TIME_LIMIT,1410,0,0,28,0
2,10,11082.0,-3.2548933154878505,-0.500164478538533,TIME_LIMIT,1444,0,0,32,0
2,10,11401.0,-3.253788684966766,-0.500164478538533,TIME_LIMIT,1494,0,0,30,0
2,10,11720.0,-3.253788684966766,-0.500164478538533,TIME_LIMIT,1521,0,0,33,0
2,10,12040.0,-3.253379470959222,-0.500164478538533,TIME_LIMIT,1573,0,0,28,0
2,10,12364.0,-3.253379470959222,-0.500164478538533,TIME_LIMIT,1604,0,0,30,0
2,10,12685.0,-3.252986884687713,-0.500164478538533,TIME_LIMIT,1653,0,0,28,0
2,10,13006.0,-3.252986884687713,-0.500164478538533,TIME_LIMIT,1683,0,0,30,0
2,10,13327.0,-3.2488532691404606,-0.6074635480160352,TIME_LIMIT,1731,0,0,29,0
2,10,13648.0,-3.2488532691404606,-0.6074635480160352,TIME_LIMIT,1757,0,0,34,0
2,10,13968.0,-3.2463385970220093,-0.6074635480160352,TIME_LIMIT,1807,0,0,19,0
2,10,14288.0,-3.2463385970220093,-0.6074635480160352,TIME_LIMIT,1826,0,0,20,0
2,10,14608.0,-3.2451573650877883,-0.6074635480160352,TIME_LIMIT,1876,0,0,17,0
2,10,14928.0,-3.2451573650877883,-0.6074635480160352,TIME_LIMIT,1902,0,0,30,0
2,10,15248.0,-3.2448912082033456,-0.6074635480160352,TIME_LIMIT,1954,0,0,26,0
2,10,15567.0,-3.2448912082033456,-0.6074635480160352,TIME_LIMIT,1981,0,0,35,0
2,10,15888.0,-3.24235503976598,-0.6074635480160352,TIME_LIMIT,2030,0,0,25,0
2,10,16209.0,-3.24235503976598,-0.6074635480160352,TIME_LIMIT,2052,0,0,32,0
2,10,16528.0,-3.2416448910671565,-0.6074635480160352,TIME_LIMIT,2103,0,0,29,0
2,10,16850.0,-3.2416448910671565,-0.6074635480160352,TIME_LIMIT,2143,0,0,35,0
2,10,17157.0,-3.2409615053164194,-0.6074635480160352,TIME_LIMIT,2189,0,0,23,0
2,10,17478.0,-3.2409615053164194,-0.6074635480160352,TIME_LIMIT,2216,0,0,42,0
2,10,17797.0,-3.2394511506073442,-0.6074635480160352,TIME_LIMIT,2265,0,0,27,0
2,10,18119.0,-3.2394511506073442,-0.6074635480160352,TIME_LIMIT,2310,0,0,31,0
2,10,18439.0,-3.2391198151509295,-0.6074635480160352,TIME_LIMIT,2360,0,0,25,0
2,10,18761.0,-3.2391198151509295,-0.6074635480160352,TIME_LIMIT,2391,0,0,18,0
2,10,19100.0,-3.2362657975265074,-0.6074635480160352,TIME_LIMIT,2436,0,0,25,0
2,10,19418.0,-3.2362657975265074,-0.6074635480160352,TIME_LIMIT,2471,0,0,23,0
2,10,19743.0,-3.2355504760452485,-0.6074635480160352,TIME_LIMIT,2507,0,0,29,0
2,10,20068.0,-3.2355504760452485,-0.6074635480160352,TIME_LIMIT,2547,0,0,28,0
2,10,20398.0,-3.233048298878685,-0.6074635480160352,TIME_LIMIT,2585,0,0,32,0
2,10,20729.0,-3.233048298878685,-0.6074635480160352,TIME_LIMIT,2611,0,0,21,0
2,10,21061.0,-3.2314286086824335,-0.6074635480160352,TIME_LIMIT,2660,0,0,23,0
2,10,21391.0,-3.2314286086824335,-0.6280759286448431,TIME_LIMIT,2703,0,0,28,0
2,10,21720.0,-3.231421590097202,-0.6280759286448431,TIME_LIMIT,2749,0,0,25,0
2,10,22034.0,-3.231421590097202,-0.6280759286448431,TIME_LIMIT,2781,0,0,32,0
2,10,22359.0,-3.2313892490314076,-0.6280759286448431,TIME_LIMIT,2832,0,0,23,0
2,10,22688.0,-3.2313892490314076,-0.6280759286448431,TIME_LIMIT,2864,0,0,34,0
2,10,23018.0,-3.230505358141873,-0.6280759286448431,TIME_LIMIT,2908,0,0,30,0
2,10,23346.0,-3.230505358141873,-0.6280759286448431,TIME_LIMIT,2938,0,0,40,0
2,10,23677.0,-3.2302986402507816,-0.6280759286448431,TIME_LIMIT,2982,0,0,26,0
2,10,24009.0,-3.2302986402507816,-0.6280759286448431,TIME_LIMIT,3024,0,0,28,0
2,10,24340.0,-3.2302986402507816,-0.6280759286448431,TIME_LIMIT,3078,0,0,32,0
2,10,24673.0,-3.2302986402507816,-0.6280759286448431,TIME_LIMIT,3111,0,0,35,0
2,10,25003.0,-3.2292186421243994,-0.6280759286448431,TIME_LIMIT,3169,0,0,31,0
2,10,25336.0,-3.2292186421243994,-0.6280759286448431,TIME_LIMIT,3199,0,0,37,0
2,10,25686.0,-3.228515391011263,-0.6280759286448431,TIME_LIMIT,3250,0,0,22,0
2,10,26007.0,-3.228515391011263,-0.6280759286448431,TIME_LIMIT,3283,0,0,21,0
2,10,26337.0,-3.2276662580615607,-0.6280759286448431,TIME_LIMIT,3315,0,0,27,0
2,10,26668.0,-3.2276662580615607,-0.6280759286448431,TIME_LIMIT,3338,0,0,26,0
2,10,27001.0,-3.2275727987344665,-0.6280759286448431,TIME_LIMIT,3389,0,0,28,0
2,10,27334.0,-3.2275727987344665,-0.6280759286448431,TIME_LIMIT,3419,0,0,34,0
2,10,27666.0,-3.2266949540791927,-0.6280759286448431,TIME_LIMIT,3467,0,0,31,0
