seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
5,10,70.0,-1.8324674282204545,-7.624767142648635e-16,TIME_LIMIT,36,0,0,19,0
5,10,222.0,-1.8324674282204545,-1.7818776301031358e-15,TIME_LIMIT,59,0,0,28,0
5,10,307.0,-1.797736688056698,-1.7818776301031358e-15,TIME_LIMIT,94,0,0,21,0
5,10,399.0,-1.797736688056698,-1.7818776301031358e-15,TIME_LIMIT,118,0,0,28,0
5,10,605.0,-1.7954767450464255,-0.00902826779682733,TIME_LIMIT,160,0,0,14,0
5,10,650.0,-1.7954767450464255,-0.012335043738264644,TIME_LIMIT,181,0,0,20,0
5,10,768.0,-1.7697552811304382,-0.31023131367585105,TIME_LIMIT,219,0,0,22,0
5,10,1006.0,-1.7697552811304382,-0.31023131367585105,TIME_LIMIT,254,0,0,16,0
5,10,1100.0,-1.7673033087677832,-0.31023131367585105,TIME_LIMIT,283,0,0,19,0
5,10,1268.0,-1.7673033087677832,-0.31023131367585105,TIME_LIMIT,304,0,0,33,0
5,10,1422.0,-1.7631165528685708,-0.31023131367585105,TIME_LIMIT,347,0,0,22,0
5,10,1624.0,-1.7631165528685708,-0.31023131367585105,TIME_LIMIT,380,0,0,37,0
5,10,1847.0,-1.7607789337752873,-0.31023131367585105,TIME_LIMIT,422,0,0,26,0
5,10,1955.0,-1.7607789337752873,-0.31023131367585105,TIME_LIMIT,445,0,0,21,0
5,10,2071.0,-1.739416279580189,-0.31023131367585105,TIME_LIMIT,482,0,0,23,0
5,10,2318.0,-1.739416279580189,-0.31023131367585105,TIME_LIMIT,514,0,0,26,0
5,10,2443.0,-1.739046735858194,-0.31023131367585105,TIME_LIMIT,542,0,0,22,0
5,10,2525.0,-1.739046735858194,-0.31023131367585105,TIME_LIMIT,571,0,0,30,0
5,10,2756.0,-1.7335593239975107,-0.31023131367585105,TIME_LIMIT,600,0,0,22,0
5,10,2892.0,-1.7335593239975107,-0.31023131367585105,TIME_LIMIT,628,0,0,17,0
5,10,3063.0,-1.7333694001868998,-0.31023131367585105,TIME_LIMIT,665,0,0,23,0
5,10,3148.0,-1.7333694001868998,-0.31023131367585105,TIME_LIMIT,686,0,0,39,0
5,10,3477.0,-1.7326613312937862,-0.31023131367585105,TIME_LIMIT,736,0,0,19,0
5,10,3742.0,-1.7326613312937862,-0.31023131367585105,TIME_LIMIT,754,0,0,18,0
5,10,4070.0,-1.7297637324779116,-0.31023131367585105,TIME_LIMIT,798,0,0,25,0
5,10,4141.0,-1.7297637324779116,-0.31023131367585105,TIME_LIMIT,820,0,0,17,0
5,10,4313.0,-1.7295785773695658,-0.31023131367585105,TIME_LIMIT,852,0,0,19,0
5,10,4373.0,-1.7295785773695658,-0.31023131367585105,TIME_LIMIT,876,0,0,19,0
5,10,4506.0,-1.7291829800700287,-0.31023131367585105,TIME_LIMIT,917,0,0,25,0
5,10,4640.0,-1.7291829800700287,-0.31023131367585105,TIME_LIMIT,941,0,0,15,0
5,10,4785.0,-1.7142887437554408,-0.31023131367585105,TIME_LIMIT,983,0,0,22,0
5,10,4861.0,-1.7142887437554408,-0.31023131367585105,TIME_LIMIT,1010,0,0,33,0
5,10,5125.0,-1.7132227859115248,-0.31023131367585105,TIME_LIMIT,1056,0,0,27,0
5,10,5393.0,-1.7132227859115248,-0.31023131367585105,TIME_LIMIT,1085,0,0,27,0
5,10,5693.0,-1.7101318272487855,-0.31023131367585105,TIME_LIMIT,1127,0,0,25,0
5,10,5756.0,-1.7101318272487855,-0.31023131367585105,TIME_LIMIT,1151,0,0,26,0
5,10,5982.0,-1.7101089843976855,-0.31023131367585105,TIME_LIMIT,1192,0,0,23,0
5,10,6322.0,-1.7101089843976855,-0.31023131367585105,TIME_LIMIT,1219,0,0,29,0
5,10,6606.0,-1.708504299806204,-0.31023131367585105,TIME_LIMIT,1265,0,0,32,0
5,10,6854.0,-1.708504299806204,-0.31023131367585105,TIME_LIMIT,1297,0,0,32,0
5,10,6967.0,-1.7079464925310648,-0.31023131367585105,TIME_LIMIT,1327,0,0,27,0
5,10,7281.0,-1.7079464925310648,-0.31023131367585105,TIME_LIMIT,1354,0,0,24,0
5,10,7527.0,-1.7023684304480373,-0.31023131367585105,TIME_LIMIT,1405,0,0,20,0
5,10,7640.0,-1.7023684304480373,-0.31023131367585105,TIME_LIMIT,1430,0,0,31,0
5,10,7972.0,-1.7013380203775839,-0.31023131367585105,TIME_LIMIT,1479,0,0,19,0
5,10,8162.0,-1.7013380203775839,-0.31023131367585105,TIME_LIMIT,1510,0,0,26,0
5,10,8411.0,-1.6999415626672294,-0.31023131367585105,TIME_LIMIT,1543,0,0,27,0
5,10,8503.0,-1.6999415626672294,-0.31023131367585105,TIME_LIMIT,1569,0,0,28,0
5,10,8734.0,-1.6993917364310127,-0.31023131367585105,TIME_LIMIT,1611,0,0,8,0
5,10,8794.0,-1.6993917364310127,-0.31023131367585105,TIME_LIMIT,1641,0,0,29,0
5,10,8913.0,-1.699361293140249,-0.31023131367585105,TIME_LIMIT,1673,0,0,30,0
5,10,9185.0,-1.699361293140249,-0.31023131367585105,TIME_LIMIT,1706,0,0,23,0
5,10,9360.0,-1.6986680422556244,-0.31023131367585105,TIME_LIMIT,1735,0,0,26,0
5,10,9429.0,-1.6986680422556244,-0.31023131367585105,TIME_LIMIT,1762,0,0,26,0
5,10,9668.0,-1.6978890334741925,-0.31023131367585105,TIME_LIMIT,1796,0,0,18,0
5,10,9808.0,-1.6978890334741925,-0.31023131367585105,TIME_LIMIT,1829,0,0,35,0
5,10,10029.0,-1.6974077370787237,-0.31023131367585105,TIME_LIMIT,1866,0,0,9,0
5,10,10126.0,-1.6974077370787237,-0.31023131367585105,TIME_LIMIT,1892,0,0,27,0
5,10,10310.0,-1.6918544723106421,-0.31023131367585105,TIME_LIMIT,1934,0,0,22,0
5,10,10464.0,-1.6918544723106421,-0.31023131367585105,TIME_LIMIT,1961,0,0,29,0
5,10,10681.0,-1.6900960893607837,-0.31023131367585105,TIME_LIMIT,2002,0,0,24,0
5,10,10889.0,-1.6900960893607837,-0.31023131367585105,TIME_LIMIT,2032,0,0,32,0
5,10,11213.0,-1.6891666498565252,-0.31023131367585105,TIME_LIMIT,2085,0,0,34,0
5,10,11413.0,-1.6891666498565252,-0.31023131367585105,TIME_LIMIT,2117,0,0,33,0
5,10,11810.0,-1.6890251411436419,-0.31023131367585105,TIME_LIMIT,2158,0,0,24,0
5,10,11926.0,-1.6890251411436419,-0.31023131367585105,TIME_LIMIT,2186,0,0,36,0
5,10,12256.0,-1.6888206184601098,-0.31023131367585105,TIME_LIMIT,2228,0,0,19,0
5,10,12548.0,-1.6888206184601098,-0.31023131367585105,TIME_LIMIT,2257,0,0,23,0
5,10,12879.0,-1.6873748885212596,-0.31023131367585105,TIME_LIMIT,2304,0,0,24,0
5,10,12969.0,-1.6873748885212596,-0.31023131367585105,TIME_LIMIT,2333,0,0,30,0
5,10,13167.0,-1.6864842412818977,-0.31023131367585105,TIME_LIMIT,2360,0,0,22,0
5,10,13298.0,-1.6864842412818977,-0.31023131367585105,TIME_LIMIT,2393,0,0,34,0
5,10,13606.0,-1.6838045013202017,-0.31023131367585105,TIME_LIMIT,2437,0,0,23,0
5,10,13743.0,-1.6838045013202017,-0.31023131367585105,TIME_LIMIT,2457,0,0,31,0
5,10,14042.0,-1.6830314037992018,-0.31023131367585105,TIME_LIMIT,2503,0,0,27,0
5,10,14231.0,-1.6830314037992018,-0.31023131367585105,TIME_LIMIT,2534,0,0,33,0
5,10,14445.0,-1.6829594475824206,-0.31023131367585105,TIME_LIMIT,2565,0,0,28,0
5,10,14526.0,-1.6829594475824206,-0.31023131367585105,TIME_LIMIT,2589,0,0,27,0
5,10,14675.0,-1.6824156371422572,-0.31023131367585105,TIME_LIMIT,2630,0,0,24,0
5,10,14964.0,-1.6824156371422572,-0.31023131367585105,TIME_LIMIT,2659,0,0,28,0
5,10,15125.0,-1.6822445720559183,-0.31023131367585105,TIME_LIMIT,2706,0,0,22,0
5,10,15271.0,-1.6822445720559183,-0.31023131367585105,TIME_LIMIT,2729,0,0,31,0
5,10,15402.0,-1.681900355481719,-0.31023131367585105,TIME_LIMIT,2767,0,0,22,0
5,10,15660.0,-1.681900355481719,-0.31023131367585105,TIME_LIMIT,2799,0,0,14,0
5,10,15990.0,-1.6806056641563203,-0.31023131367585105,TIME_LIMIT,2843,0,0,25,0
5,10,16104.0,-1.6806056641563203,-0.31023131367585105,TIME_LIMIT,2875,0,0,31,0
5,10,16280.0,-1.6759753232282426,-0.31023131367585105,TIME_LIMIT,2908,0,0,24,0
5,10,16386.0,-1.6759753232282426,-0.31023131367585105,TIME_LIMIT,2936,0,0,33,0
5,10,16658.0,-1.6749753752585983,-0.31023131367585105,TIME_LIMIT,2983,0,0,24,0
5,10,16966.0,-1.6749753752585983,-0.31023131367585105,TIME_LIMIT,3018,0,0,28,0
5,10,17161.0,-1.6724711857387335,-0.31023131367585105,TIME_LIMIT,3050,0,0,28,0
5,10,17345.0,-1.6724711857387335,-0.31023131367585105,TIME_LIMIT,3083,0,0,35,0
5,10,17484.0,-1.6722920366163596,-0.31023131367585105,TIME_LIMIT,3111,0,0,23,0
5,10,17624.0,-1.6722920366163596,-0.31023131367585105,TIME_LIMIT,3141,0,0,25,0
5,10,17965.0,-1.6712161277784898,-0.31023131367585105,TIME_LIMIT,3182,0,0,21,0
5,10,18185.0,-1.6712161277784898,-0.31023131367585105,TIME_LIMIT,3207,0,0,36,0
5,10,18438.0,-1.671035727138922,-0.31023131367585105,TIME_LIMIT,3255,0,0,26,0
5,10,18553.0,-1.671035727138922,-0.31023131367585105,TIME_LIMIT,3283,0,0,33,0
5,10,18891.0,-1.6702240142931777,-0.31023131367585105,TIME_LIMIT,3334,0,0,28,0
5,10,19176.0,-1.6702240142931777,-0.31023131367585105,TIME_LIMIT,3362,0,0,27,0
5,10,19448.0,-1.670185143855683,-0.31023131367585105,TIME_LIMIT,3406,0,0,27,0
5,10,19565.0,-1.670185143855683,-0.31023131367585105,TIME_LIMIT,3431,0,0,31,0
5,10,19800.0,-1.6693286208451341,-0.31023131367585105,TIME_LIMIT,3474,0,0,22,0
5,10,20025.0,-1.6693286208451341,-0.31023131367585105,TIME_LIMIT,3501,0,0,33,0
5,10,20334.0,-1.668616922820137,-0.31023131367585105,TIME_LIMIT,3545,0,0,26,0
5,10,20462.0,-1.668616922820137,-0.31023131367585105,TIME_LIMIT,3579,0,0,33,0
