seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
5,7,30.0,-2.0996017641273816,-1.1938175779874263,TIME_LIMIT,29,0,0,14,0
5,7,37.0,-2.0996017641273816,-1.306045353392386,TIME_LIMIT,42,0,0,16,0
5,7,79.0,-2.0681354817659123,-1.3524950091165804,TIME_LIMIT,72,0,0,11,0
5,7,90.0,-2.0681354817659123,-1.3803956286564336,TIME_LIMIT,88,0,0,16,0
5,7,123.0,-2.06666456791746,-1.3876150950644697,TIME_LIMIT,120,0,0,4,0
5,7,138.0,-2.06666456791746,-1.3876150950644697,TIME_LIMIT,135,0,0,8,0
5,7,165.0,-2.036572011885615,-1.3876150950644697,TIME_LIMIT,163,0,0,9,0
5,7,208.0,-2.036572011885615,-1.3876150950644697,TIME_LIMIT,194,0,0,14,0
5,7,243.0,-2.035326654873021,-1.4025506778411854,TIME_LIMIT,212,0,0,11,0
5,7,303.0,-2.035326654873021,-1.4025506778411854,TIME_LIMIT,243,0,0,13,0
5,7,347.0,-2.03462858500572,-1.4025506778411854,TIME_LIMIT,271,0,0,11,0
5,7,514.0,-2.03462858500572,-1.4025506778411854,TIME_LIMIT,301,0,0,6,0
5,7,545.0,-2.0323929068028734,-1.4025506778411854,TIME_LIMIT,319,0,0,14,0
5,7,562.0,-2.0323929068028734,-1.4025506778411854,TIME_LIMIT,335,0,0,7,0
5,7,589.0,-2.0078559307098085,-1.4068483040454756,TIME_LIMIT,367,0,0,5,0
5,7,607.0,-2.0078559307098085,-1.4068483040454756,TIME_LIMIT,385,0,0,14,0
5,7,645.0,-2.0068713636425373,-1.422985812224314,TIME_LIMIT,405,0,0,12,0
5,7,655.0,-2.0068713636425373,-1.422985812224314,TIME_LIMIT,418,0,0,15,0
5,7,735.0,-2.005490938585379,-1.422985812224314,TIME_LIMIT,455,0,0,4,0
5,7,822.0,-2.005490938585379,-1.422985812224314,TIME_LIMIT,487,0,0,9,0
5,7,853.0,-2.004630116056281,-1.422985812224314,TIME_LIMIT,514,0,0,7,0
5,7,902.0,-2.004630116056281,-1.422985812224314,TIME_LIMIT,540,0,0,6,0
5,7,959.0,-2.0040843596712388,-1.422985812224314,TIME_LIMIT,574,0,0,8,0
5,7,1014.0,-2.0040843596712388,-1.422985812224314,TIME_LIMIT,606,0,0,10,0
5,7,1051.0,-2.002508022916616,-1.422985812224314,TIME_LIMIT,624,0,0,4,0
5,7,1111.0,-2.002508022916616,-1.4357937111280923,TIME_LIMIT,660,0,0,16,0
5,7,1128.0,-2.0019718227266092,-1.4357937111280923,TIME_LIMIT,676,0,0,12,0
5,7,1139.0,-2.0019718227266092,-1.4357937111280923,TIME_LIMIT,694,0,0,12,0
5,7,1298.0,-2.0015458850957755,-1.4357937111280923,TIME_LIMIT,722,0,0,6,0
5,7,1324.0,-2.0015458850957755,-1.4357937111280923,TIME_LIMIT,748,0,0,14,0
5,7,1383.0,-1.9819103784643675,-1.4357937111280923,TIME_LIMIT,764,0,0,13,0
5,7,1393.0,-1.9819103784643675,-1.4357937111280923,TIME_LIMIT,779,0,0,16,0
5,7,1428.0,-1.9793435186910753,-1.4661788049429316,TIME_LIMIT,810,0,0,13,0
5,7,1486.0,-1.9793435186910753,-1.4661788049429316,TIME_LIMIT,840,0,0,8,0
5,7,1537.0,-1.9785951720981712,-1.4661788049429316,TIME_LIMIT,871,0,0,13,0
5,7,1606.0,-1.9785951720981712,-1.4661788049429316,TIME_LIMIT,905,0,0,12,0
5,7,1657.0,-1.9779567592787406,-1.4818548025936298,TIME_LIMIT,923,0,0,3,0
5,7,1685.0,-1.9779567592787406,-1.4818548025936298,TIME_LIMIT,942,0,0,12,0
5,7,1713.0,-1.9769769484314463,-1.4818548025936298,TIME_LIMIT,971,0,0,14,0
5,7,1761.0,-1.9769769484314463,-1.4818548025936298,TIME_LIMIT,1005,0,0,14,0
5,7,1806.0,-1.9755321054351982,-1.4818548025936298,TIME_LIMIT,1024,0,0,15,0
5,7,1868.0,-1.9755321054351982,-1.4818548025936298,TIME_LIMIT,1055,0,0,15,0
5,7,1885.0,-1.9748146921353817,-1.4818548025936298,TIME_LIMIT,1075,0,0,10,0
5,7,1958.0,-1.9748146921353817,-1.4818548025936298,TIME_LIMIT,1110,0,0,13,0
