seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
1,8,3385.0,-151.86742160666813,-3.74077726230378e-14,OPTIMAL,26,0,0,17,0
1,8,5222.0,-151.86742160666813,-0.8932086844015718,OPTIMAL,49,0,0,24,0
1,8,5515.0,-151.86742160666813,-1.1949550503064517,OPTIMAL,75,0,0,19,0
1,8,5756.0,-151.86742160666813,-123.47757773082127,OPTIMAL,93,0,0,22,0
1,8,6578.0,-151.26946961814852,-123.47757773082127,OPTIMAL,119,0,0,13,0
1,8,6833.0,-151.26946961814852,-123.47757773082127,OPTIMAL,135,0,0,25,0
1,8,7071.0,-149.13672108718134,-123.47757773082127,OPTIMAL,161,0,0,17,0
1,8,7304.0,-149.13672108718134,-123.47757773082127,OPTIMAL,177,0,0,8,0
1,8,7535.0,-143.38673265065302,-123.47757773082127,OPTIMAL,193,0,0,14,0
1,8,7767.0,-143.38673265065302,-123.47757773082127,OPTIMAL,211,0,0,15,0
1,8,7998.0,-143.38673265065302,-123.47757773082127,OPTIMAL,231,0,0,15,0
1,8,8229.0,-143.38673265065302,-123.47757773082127,OPTIMAL,246,0,0,12,0
1,8,8459.0,-143.38673265065302,-123.47757773082127,OPTIMAL,269,0,0,18,0
1,8,8691.0,-143.38673265065302,-123.47757773082127,OPTIMAL,282,0,0,11,0
1,8,8920.0,-143.38673265065302,-123.47757773082127,OPTIMAL,302,0,0,13,0
1,8,9154.0,-143.38673265065302,-123.47757773082127,OPTIMAL,320,0,0,16,0
1,8,9385.0,-143.38673265065302,-123.47757773082127,OPTIMAL,338,0,0,14,0
1,8,9616.0,-143.38673265065302,-123.47757773082127,OPTIMAL,351,0,0,8,0
1,8,9847.0,-143.38673265065302,-123.47757773082127,OPTIMAL,365,0,0,11,0
1,8,10079.0,-143.38673265065302,-123.47757773082127,OPTIMAL,375,0,0,12,0
1,8,10311.0,-143.38673265065302,-123.47757773082127,OPTIMAL,396,0,0,12,0
1,8,10542.0,-143.38673265065302,-123.47757773082127,OPTIMAL,409,0,0,12,0
1,8,10776.0,-140.64516956139,-123.47757773082127,OPTIMAL,426,0,0,12,0
1,8,11008.0,-140.64516956139,-123.47757773082127,OPTIMAL,444,0,0,15,0
1,8,11244.0,-140.64516956139,-123.47757773082127,OPTIMAL,466,0,0,13,0
1,8,11475.0,-140.64516956139,-123.47757773082127,OPTIMAL,479,0,0,14,0
1,8,11709.0,-137.80984430911332,-123.47757773082127,OPTIMAL,497,0,0,11,0
1,8,11776.0,-137.80984430911332,-123.47757773082127,OPTIMAL,508,0,0,14,0
1,8,12006.0,-137.17452835852856,-123.47757773082127,OPTIMAL,527,0,0,15,0
1,8,12248.0,-137.17452835852856,-123.47757773082127,OPTIMAL,537,0,0,15,0
1,8,12479.0,-136.70328027519028,-123.47757773082127,OPTIMAL,556,0,0,13,0
1,8,12579.0,-136.70328027519028,-123.47757773082127,OPTIMAL,572,0,0,17,0
1,8,12809.0,-136.70328027519028,-123.47757773082127,OPTIMAL,587,0,0,8,0
1,8,13043.0,-136.70328027519028,-123.47757773082127,OPTIMAL,601,0,0,14,0
1,8,13276.0,-135.2640049082977,-123.47757773082127,OPTIMAL,618,0,0,14,0
1,8,13507.0,-135.2640049082977,-123.47757773082127,OPTIMAL,634,0,0,13,0
1,8,13740.0,-135.2640049082977,-123.47757773082127,OPTIMAL,655,0,0,19,0
1,8,13971.0,-135.2640049082977,-123.47757773082127,OPTIMAL,672,0,0,17,0
1,8,14203.0,-135.2640049082977,-123.47757773082127,OPTIMAL,692,0,0,13,0
1,8,14435.0,-135.2640049082977,-123.47757773082127,OPTIMAL,707,0,0,18,0
1,8,14669.0,-135.2640049082977,-123.47757773082127,OPTIMAL,733,0,0,15,0
1,8,14899.0,-135.2640049082977,-123.47757773082127,OPTIMAL,752,0,0,20,0
1,8,15134.0,-135.2640049082977,-123.47757773082127,OPTIMAL,775,0,0,15,0
1,8,15364.0,-135.2640049082977,-123.47757773082127,OPTIMAL,790,0,0,20,0
1,8,15595.0,-135.2640049082977,-123.47757773082127,OPTIMAL,808,0,0,15,0
1,8,15824.0,-135.2640049082977,-123.47757773082127,OPTIMAL,826,0,0,18,0
1,8,16058.0,-135.2640049082977,-123.47757773082127,OPTIMAL,846,0,0,11,0
1,8,16293.0,-135.2640049082977,-123.47757773082127,OPTIMAL,864,0,0,22,0
1,8,16523.0,-135.2640049082977,-123.47757773082127,OPTIMAL,882,0,0,15,0
1,8,16757.0,-135.2640049082977,-123.47757773082127,OPTIMAL,898,0,0,18,0
1,8,16990.0,-135.2640049082977,-123.47757773082127,OPTIMAL,921,0,0,15,0
1,8,17222.0,-135.2640049082977,-123.47757773082127,OPTIMAL,932,0,0,16,0
1,8,17457.0,-135.2640049082977,-123.47757773082127,OPTIMAL,948,0,0,11,0
1,8,17690.0,-135.2640049082977,-123.47757773082127,OPTIMAL,963,0,0,17,0
1,8,17925.0,-135.2640049082977,-123.47757773082127,OPTIMAL,982,0,0,15,0
1,8,18157.0,-135.2640049082977,-123.47757773082127,OPTIMAL,992,0,0,10,0
1,8,18390.0,-135.2640049082977,-123.47757773082127,OPTIMAL,1015,0,0,15,0
1,8,18627.0,-135.2640049082977,-123.47757773082127,OPTIMAL,1026,0,0,12,0
1,8,18862.0,-135.2640049082977,-123.47757773082127,OPTIMAL,1044,0,0,14,0
1,8,19094.0,-135.2640049082977,-123.47757773082127,OPTIMAL,1057,0,0,13,0
1,8,19327.0,-135.2640049082977,-123.47757773082127,OPTIMAL,1074,0,0,12,0
1,8,19389.0,-135.2640049082977,-123.47757773082127,OPTIMAL,1085,0,0,16,0
1,8,19620.0,-135.2640049082977,-123.47757773082127,OPTIMAL,1103,0,0,13,0
1,8,19805.0,-135.2640049082977,-123.47757773082127,OPTIMAL,1113,0,0,14,0
1,8,19946.0,-135.2640049082977,-123.47757773082127,OPTIMAL,1129,0,0,12,0
1,8,20179.0,-135.2640049082977,-123.47757773082127,OPTIMAL,1143,0,0,7,0
1,8,20430.0,-135.0946259423825,-123.47757773082127,OPTIMAL,1162,0,0,14,0
1,8,20445.0,-135.0946259423825,-123.47757773082127,OPTIMAL,1169,0,0,13,0
1,8,20582.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1183,0,0,12,0
1,8,20816.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1201,0,0,28,0
1,8,21048.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1224,0,0,14,0
1,8,21282.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1242,0,0,24,0
1,8,21517.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1265,0,0,16,0
1,8,21748.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1283,0,0,15,0
1,8,21981.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1306,0,0,15,0
1,8,22215.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1324,0,0,24,0
1,8,22445.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1346,0,0,15,0
1,8,22679.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1361,0,0,17,0
1,8,22912.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1386,0,0,16,0
1,8,23147.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1406,0,0,8,0
1,8,23378.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1429,0,0,17,0
1,8,23610.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1449,0,0,23,0
1,8,23845.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1473,0,0,18,0
1,8,24077.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1488,0,0,17,0
1,8,24310.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1514,0,0,17,0
1,8,24546.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1526,0,0,17,0
1,8,24779.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1548,0,0,16,0
1,8,25010.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1564,0,0,20,0
1,8,25244.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1586,0,0,15,0
1,8,25475.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1605,0,0,22,0
1,8,25706.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1630,0,0,19,0
1,8,25939.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1643,0,0,16,0
1,8,26174.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1662,0,0,13,0
1,8,26406.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1679,0,0,23,0
1,8,26638.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1704,0,0,14,0
1,8,26873.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1714,0,0,15,0
1,8,27105.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1735,0,0,13,0
1,8,27339.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1746,0,0,18,0
1,8,27573.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1767,0,0,16,0
1,8,27805.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1780,0,0,18,0
1,8,28041.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1799,0,0,13,0
1,8,28274.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1813,0,0,17,0
1,8,28509.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1830,0,0,11,0
1,8,28609.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1848,0,0,22,0
1,8,28842.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1870,0,0,13,0
1,8,29077.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1884,0,0,16,0
1,8,29312.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1902,0,0,10,0
1,8,29431.0,-135.06799714645075,-123.47757773082127,OPTIMAL,1912,0,0,13,0
1,8,29555.0,-135.0449943142968,-123.47757773082127,OPTIMAL,1929,0,0,12,0
1,8,29790.0,-135.0449943142968,-123.47757773082127,OPTIMAL,1949,0,0,24,0
1,8,30036.0,-135.0449943142968,-123.47757773082127,OPTIMAL,1968,0,0,16,0
1,8,30269.0,-135.0449943142968,-123.47757773082127,OPTIMAL,1983,0,0,14,0
1,8,30502.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2003,0,0,12,0
1,8,30738.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2020,0,0,17,0
1,8,30970.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2040,0,0,16,0
1,8,31205.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2058,0,0,18,0
1,8,31436.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2078,0,0,15,0
1,8,31666.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2089,0,0,15,0
1,8,31900.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2111,0,0,13,0
1,8,32133.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2125,0,0,10,0
1,8,32371.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2147,0,0,17,0
1,8,32603.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2160,0,0,17,0
1,8,32838.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2178,0,0,14,0
1,8,33072.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2196,0,0,22,0
1,8,33308.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2213,0,0,11,0
1,8,33545.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2228,0,0,16,0
1,8,33778.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2246,0,0,14,0
1,8,34014.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2259,0,0,22,0
1,8,34252.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2276,0,0,12,0
1,8,34484.0,-135.0449943142968,-123.47757773082127,OPTIMAL,2291,0,0,18,0
