seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
2,10,268.0,-3.178852111700917,-0.0020413813449912956,TIME_LIMIT,58,0,0,32,0
2,10,552.0,-3.178852111700917,-0.018721603658363842,TIME_LIMIT,90,0,0,27,0
2,10,739.0,-3.149100664974345,-0.1215831008307329,TIME_LIMIT,137,0,0,23,0
2,10,911.0,-3.149100664974345,-0.1215831008307329,TIME_LIMIT,162,0,0,30,0
2,10,1199.0,-3.133713052543702,-0.21438041888827408,TIME_LIMIT,213,0,0,28,0
2,10,1390.0,-3.133713052543702,-0.21438041888827408,TIME_LIMIT,244,0,0,37,0
2,10,1682.0,-3.1025006237458066,-0.21438041888827408,TIME_LIMIT,293,0,0,29,0
2,10,1957.0,-3.1025006237458066,-0.21624510341965708,TIME_LIMIT,329,0,0,27,0
2,10,2156.0,-3.0939235273172447,-0.2325870459316926,TIME_LIMIT,375,0,0,22,0
2,10,2233.0,-3.0939235273172447,-0.2325870459316926,TIME_LIMIT,395,0,0,33,0
2,10,2506.0,-3.09372728863691,-0.2325870459316926,TIME_LIMIT,450,0,0,25,0
2,10,2691.0,-3.09372728863691,-0.2325870459316926,TIME_LIMIT,475,0,0,34,0
2,10,2967.0,-3.0895123966886953,-0.2325870459316926,TIME_LIMIT,528,0,0,30,0
2,10,3066.0,-3.0895123966886953,-0.2325870459316926,TIME_LIMIT,549,0,0,37,0
2,10,3342.0,-3.0668814328492213,-0.2325870459316926,TIME_LIMIT,592,0,0,27,0
2,10,3546.0,-3.0668814328492213,-0.2325870459316926,TIME_LIMIT,616,0,0,31,0
2,10,3840.0,-3.0571811619601017,-0.2325870459316926,TIME_LIMIT,666,0,0,30,0
2,10,4021.0,-3.0571811619601017,-0.2325870459316926,TIME_LIMIT,691,0,0,29,0
2,10,4313.0,-3.05393509074954,-0.2325870459316926,TIME_LIMIT,742,0,0,29,0
2,10,4588.0,-3.05393509074954,-0.2325870459316926,TIME_LIMIT,769,0,0,35,0
2,10,4878.0,-3.0528309180398274,-0.2325870459316926,TIME_LIMIT,815,0,0,25,0
2,10,5155.0,-3.0528309180398274,-0.2325870459316926,TIME_LIMIT,845,0,0,22,0
2,10,5445.0,-3.0527278575065577,-0.2325870459316926,TIME_LIMIT,897,0,0,20,0
2,10,5487.0,-3.0527278575065577,-0.2325870459316926,TIME_LIMIT,915,0,0,28,0
2,10,5799.0,-3.0522766122960254,-0.2434820638302403,TIME_LIMIT,964,0,0,27,0
2,10,5886.0,-3.0522766122960254,-0.2434820638302403,TIME_LIMIT,983,0,0,39,0
