seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
3,7,31.0,-4.430115585241161,-0.6373288173014511,TIME_LIMIT,32,0,0,13,0
3,7,51.0,-4.430115585241161,-0.6373288173014511,TIME_LIMIT,50,0,0,10,0
3,7,94.0,-4.265154257310037,-0.6373288173014511,TIME_LIMIT,80,0,0,8,0
3,7,141.0,-4.265154257310037,-1.2205855127574234,TIME_LIMIT,113,0,0,13,0
3,7,192.0,-4.262440133085605,-1.4126318959569706,TIME_LIMIT,144,0,0,15,0
3,7,214.0,-4.262440133085605,-1.4126318959569706,TIME_LIMIT,172,0,0,13,0
3,7,241.0,-4.077126655091494,-1.4126318959569706,TIME_LIMIT,200,0,0,10,0
3,7,290.0,-4.077126655091494,-1.4126318959569706,TIME_LIMIT,229,0,0,14,0
3,7,333.0,-4.0044995302875765,-1.4126318959569706,TIME_LIMIT,262,0,0,11,0
3,7,370.0,-4.0044995302875765,-1.4126318959569706,TIME_LIMIT,292,0,0,5,0
3,7,395.0,-3.9338644018120723,-1.4126318959569706,TIME_LIMIT,315,0,0,5,0
3,7,409.0,-3.9338644018120723,-1.4126318959569706,TIME_LIMIT,333,0,0,15,0
3,7,440.0,-3.925356856554763,-1.4126318959569706,TIME_LIMIT,364,0,0,11,0
3,7,472.0,-3.925356856554763,-1.4126318959569706,TIME_LIMIT,378,0,0,11,0
3,7,510.0,-3.925356856554763,-1.49455002239681,TIME_LIMIT,408,0,0,8,0
3,7,646.0,-3.925356856554763,-1.49455002239681,TIME_LIMIT,436,0,0,9,0
3,7,678.0,-3.925356856554763,-1.5195757598453807,TIME_LIMIT,463,0,0,11,0
3,7,717.0,-3.925356856554763,-1.5195757598453807,TIME_LIMIT,497,0,0,17,0
3,7,761.0,-3.9074112765674163,-1.5195757598453807,TIME_LIMIT,530,0,0,14,0
3,7,817.0,-3.9074112765674163,-1.5195757598453807,TIME_LIMIT,564,0,0,16,0
3,7,854.0,-3.879437760021086,-1.5195757598453807,TIME_LIMIT,594,0,0,6,0
3,7,920.0,-3.879437760021086,-1.5195757598453807,TIME_LIMIT,620,0,0,13,0
3,7,965.0,-3.879437760021086,-1.5195757598453807,TIME_LIMIT,643,0,0,15,0
3,7,988.0,-3.879437760021086,-1.5195757598453807,TIME_LIMIT,658,0,0,7,0
3,7,1026.0,-3.879437760021086,-1.5195757598453807,TIME_LIMIT,688,0,0,8,0
3,7,1061.0,-3.879437760021086,-1.5195757598453807,TIME_LIMIT,712,0,0,13,0
3,7,1085.0,-3.879437760021086,-1.5195757598453807,TIME_LIMIT,730,0,0,8,0
3,7,1219.0,-3.879437760021086,-1.5195757598453807,TIME_LIMIT,756,0,0,11,0
3,7,1239.0,-3.869357529909103,-1.5195757598453807,TIME_LIMIT,782,0,0,10,0
3,7,1259.0,-3.869357529909103,-1.5195757598453807,TIME_LIMIT,799,0,0,11,0
3,7,1329.0,-3.8273006337529583,-1.5195757598453807,TIME_LIMIT,835,0,0,13,0
3,7,1366.0,-3.8273006337529583,-1.5195757598453807,TIME_LIMIT,857,0,0,2,0
3,7,1395.0,-3.8273006337529583,-1.5195757598453807,TIME_LIMIT,886,0,0,14,0
3,7,1444.0,-3.8273006337529583,-1.5195757598453807,TIME_LIMIT,918,0,0,15,0
3,7,1496.0,-3.779785068487064,-1.5195757598453807,TIME_LIMIT,956,0,0,12,0
